metric_a,metric_b,mean_correlation,std_correlation,min_correlation,max_correlation,months_observed
betweenness,eigenvector,0.4407669815312338,0.031656712586438394,0.37780046047673654,0.5209024503223589,53
betweenness,pagerank,0.5347186826413249,0.016636328884214006,0.5060892711186984,0.5728891623816057,60
betweenness,share_monthly_network_flow,0.4889204871760857,0.026613123213937134,0.4303357342263408,0.5500265343484481,60
eigenvector,share_monthly_network_flow,0.9265618884427397,0.02745948341178454,0.8717803504432289,0.9759459845307696,53
node_throughput,betweenness,0.4889204871760857,0.026613123213937134,0.43033573422634086,0.5500265343484481,60
node_throughput,eigenvector,0.9265618884427397,0.02745948341178456,0.8717803504432289,0.9759459845307696,53
node_throughput,pagerank,0.9055086172807462,0.033153087914778466,0.8233405267849605,0.9609515064786401,60
node_throughput,share_monthly_network_flow,1.0,5.597960807009036e-17,0.9999999999999999,1.0,60
node_throughput,total_degree,0.9614469078630621,0.012792782738363042,0.9264471170839922,0.9846143162014342,60
node_throughput,total_route_exposure,0.9831490672900027,0.006137938064407636,0.9624175219106673,0.9938199066800992,60
node_throughput,total_strength,0.9969669670515824,0.0010255979568110096,0.9937259964132514,0.9988820630329791,60
node_throughput,total_voyages,0.9911484168370355,0.004024376067970029,0.9785958564065063,0.998363872771359,60
pagerank,eigenvector,0.8723667222134361,0.04081074569220391,0.7786182755277661,0.9404790884003061,53
pagerank,share_monthly_network_flow,0.9055086172807462,0.033153087914778466,0.8233405267849606,0.9609515064786401,60
total_degree,betweenness,0.5457357468754704,0.018520478463068573,0.5116181794202441,0.590735488187252,60
total_degree,eigenvector,0.8981751956931197,0.03389035714065563,0.8306185012562534,0.951132837564823,53
total_degree,pagerank,0.9022847410293365,0.04065056254679886,0.8073194994658528,0.9573560196735414,60
total_degree,share_monthly_network_flow,0.9614469078630622,0.012792782738363076,0.9264471170839922,0.9846143162014341,60
total_degree,total_strength,0.9682368870337199,0.012158765876654452,0.936460016504343,0.9877787838134245,60
total_route_exposure,betweenness,0.5020936809714134,0.025101465783088923,0.44682078607408265,0.5519109165721691,60
total_route_exposure,eigenvector,0.9090436498135728,0.03240922008782914,0.8436928844962279,0.9627064759489583,53
total_route_exposure,pagerank,0.8975480366612408,0.037405335596880585,0.7986929128560979,0.9553109099683179,60
total_route_exposure,share_monthly_network_flow,0.9831490672900027,0.006137938064407642,0.9624175219106673,0.9938199066800992,60
total_route_exposure,total_degree,0.9772257023129417,0.007624870057005656,0.9547730864713421,0.987378419674211,60
total_route_exposure,total_strength,0.9827317382126791,0.00620583276843056,0.9625693650731322,0.9933968740031702,60
total_strength,betweenness,0.5375944623483911,0.019838979499602737,0.49745819449050493,0.5771929364436136,60
total_strength,eigenvector,0.9261719243047952,0.025896536548943982,0.8714580783076825,0.973239928581437,53
total_strength,pagerank,0.9142094203005835,0.031141913432291096,0.8367357179809832,0.9638705466736306,60
total_strength,share_monthly_network_flow,0.9969669670515824,0.0010255979568110029,0.9937259964132514,0.9988820630329791,60
total_voyages,betweenness,0.4872038303497025,0.027030450385302968,0.42941339934873934,0.5416590691637769,60
total_voyages,eigenvector,0.913992040764029,0.031804058388028224,0.8393495824816332,0.9650604856145671,53
total_voyages,pagerank,0.9001014921801854,0.03596069966115819,0.8147247620546334,0.9583345368908055,60
total_voyages,share_monthly_network_flow,0.9911484168370354,0.0040243760679700615,0.9785958564065063,0.998363872771359,60
total_voyages,total_degree,0.9688188408595596,0.0106396489849565,0.9358002829627323,0.9874787023373792,60
total_voyages,total_route_exposure,0.9895700110195877,0.004284123283334483,0.977126940314306,0.9962986619645291,60
total_voyages,total_strength,0.9885933854779106,0.004387749532472359,0.9758464830562245,0.9967191081747615,60
