period_month,metric_a,metric_b,spearman_correlation
2020-01-01,node_throughput,total_voyages,0.9913403723665757
2020-01-01,node_throughput,total_route_exposure,0.9883262949153514
2020-01-01,node_throughput,total_degree,0.9751102496900819
2020-01-01,node_throughput,total_strength,0.9970673836546753
2020-01-01,node_throughput,betweenness,0.5031949439010815
2020-01-01,node_throughput,pagerank,0.9217434251930782
2020-01-01,node_throughput,eigenvector,
2020-01-01,node_throughput,share_monthly_network_flow,1.0
2020-01-01,total_voyages,total_route_exposure,0.9924372942079455
2020-01-01,total_voyages,total_degree,0.9785577174581374
2020-01-01,total_voyages,total_strength,0.9886930794725844
2020-01-01,total_voyages,betweenness,0.5010467918244802
2020-01-01,total_voyages,pagerank,0.920551656887765
2020-01-01,total_voyages,eigenvector,
2020-01-01,total_voyages,share_monthly_network_flow,0.9913403723665757
2020-01-01,total_route_exposure,total_degree,0.9855937237951611
2020-01-01,total_route_exposure,total_strength,0.9872596264484795
2020-01-01,total_route_exposure,betweenness,0.5084848691373268
2020-01-01,total_route_exposure,pagerank,0.9110277260105936
2020-01-01,total_route_exposure,eigenvector,
2020-01-01,total_route_exposure,share_monthly_network_flow,0.9883262949153514
2020-01-01,total_degree,total_strength,0.9800532854787256
2020-01-01,total_degree,betweenness,0.5464558584190735
2020-01-01,total_degree,pagerank,0.9218507994127484
2020-01-01,total_degree,eigenvector,
2020-01-01,total_degree,share_monthly_network_flow,0.9751102496900819
2020-01-01,total_strength,betweenness,0.5532917607149206
2020-01-01,total_strength,pagerank,0.927208914640427
2020-01-01,total_strength,eigenvector,
2020-01-01,total_strength,share_monthly_network_flow,0.9970673836546754
2020-01-01,betweenness,pagerank,0.5156798514427393
2020-01-01,betweenness,eigenvector,
2020-01-01,betweenness,share_monthly_network_flow,0.5031949439010815
2020-01-01,pagerank,eigenvector,
2020-01-01,pagerank,share_monthly_network_flow,0.9217434251930782
2020-01-01,eigenvector,share_monthly_network_flow,
2020-02-01,node_throughput,total_voyages,0.996884784910997
2020-02-01,node_throughput,total_route_exposure,0.9916768203895284
2020-02-01,node_throughput,total_degree,0.9781476490094214
2020-02-01,node_throughput,total_strength,0.9974341715843037
2020-02-01,node_throughput,betweenness,0.5008303325708247
2020-02-01,node_throughput,pagerank,0.9234962017872503
2020-02-01,node_throughput,eigenvector,0.9381004836710618
2020-02-01,node_throughput,share_monthly_network_flow,1.0
2020-02-01,total_voyages,total_route_exposure,0.9935488453377792
2020-02-01,total_voyages,total_degree,0.9792575729875431
2020-02-01,total_voyages,total_strength,0.9941290882336378
2020-02-01,total_voyages,betweenness,0.4915238748082185
2020-02-01,total_voyages,pagerank,0.918703801797104
2020-02-01,total_voyages,eigenvector,0.9233738327881035
2020-02-01,total_voyages,share_monthly_network_flow,0.9968847849109969
2020-02-01,total_route_exposure,total_degree,0.982133017059091
2020-02-01,total_route_exposure,total_strength,0.9899602428227224
2020-02-01,total_route_exposure,betweenness,0.50519583910915
2020-02-01,total_route_exposure,pagerank,0.9163741796203962
2020-02-01,total_route_exposure,eigenvector,0.9211362732259808
2020-02-01,total_route_exposure,share_monthly_network_flow,0.9916768203895285
2020-02-01,total_degree,total_strength,0.9818927369208739
2020-02-01,total_degree,betweenness,0.5402406574807925
2020-02-01,total_degree,pagerank,0.9233630981811265
2020-02-01,total_degree,eigenvector,0.9131146549638077
2020-02-01,total_degree,share_monthly_network_flow,0.9781476490094214
2020-02-01,total_strength,betweenness,0.5480521163469625
2020-02-01,total_strength,pagerank,0.9299776795289797
2020-02-01,total_strength,eigenvector,0.938125709217004
2020-02-01,total_strength,share_monthly_network_flow,0.9974341715843038
2020-02-01,betweenness,pagerank,0.5291035060924285
2020-02-01,betweenness,eigenvector,0.4671839856804685
2020-02-01,betweenness,share_monthly_network_flow,0.5008303325708247
2020-02-01,pagerank,eigenvector,0.8968745261945176
2020-02-01,pagerank,share_monthly_network_flow,0.9234962017872503
2020-02-01,eigenvector,share_monthly_network_flow,0.9381004836710619
2020-03-01,node_throughput,total_voyages,0.9975379602320386
2020-03-01,node_throughput,total_route_exposure,0.9878311464222556
2020-03-01,node_throughput,total_degree,0.9752954414096153
2020-03-01,node_throughput,total_strength,0.9968028712280587
2020-03-01,node_throughput,betweenness,0.5150311125002393
2020-03-01,node_throughput,pagerank,0.9388654212546345
2020-03-01,node_throughput,eigenvector,0.9429568022245394
2020-03-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2020-03-01,total_voyages,total_route_exposure,0.9909824483209162
2020-03-01,total_voyages,total_degree,0.9780404306270752
2020-03-01,total_voyages,total_strength,0.9943872566026407
2020-03-01,total_voyages,betweenness,0.512112972191009
2020-03-01,total_voyages,pagerank,0.9380629749818976
2020-03-01,total_voyages,eigenvector,0.9294962669118224
2020-03-01,total_voyages,share_monthly_network_flow,0.9975379602320384
2020-03-01,total_route_exposure,total_degree,0.9869517045533274
2020-03-01,total_route_exposure,total_strength,0.9882714027338281
2020-03-01,total_route_exposure,betweenness,0.5325764698279785
2020-03-01,total_route_exposure,pagerank,0.9354302986191807
2020-03-01,total_route_exposure,eigenvector,0.9187598668210172
2020-03-01,total_route_exposure,share_monthly_network_flow,0.9878311464222556
2020-03-01,total_degree,total_strength,0.9802349909556851
2020-03-01,total_degree,betweenness,0.5631532208862877
2020-03-01,total_degree,pagerank,0.937966748968738
2020-03-01,total_degree,eigenvector,0.9140459909672173
2020-03-01,total_degree,share_monthly_network_flow,0.9752954414096153
2020-03-01,total_strength,betweenness,0.5666894567437546
2020-03-01,total_strength,pagerank,0.9460969797356557
2020-03-01,total_strength,eigenvector,0.9415591419799839
2020-03-01,total_strength,share_monthly_network_flow,0.9968028712280586
2020-03-01,betweenness,pagerank,0.5586562626321441
2020-03-01,betweenness,eigenvector,0.48276445328774203
2020-03-01,betweenness,share_monthly_network_flow,0.5150311125002393
2020-03-01,pagerank,eigenvector,0.901190216550601
2020-03-01,pagerank,share_monthly_network_flow,0.9388654212546345
2020-03-01,eigenvector,share_monthly_network_flow,0.9429568022245394
2020-04-01,node_throughput,total_voyages,0.9962371724133882
2020-04-01,node_throughput,total_route_exposure,0.9938199066800992
2020-04-01,node_throughput,total_degree,0.9810168821121374
2020-04-01,node_throughput,total_strength,0.9988820630329791
2020-04-01,node_throughput,betweenness,0.5500265343484481
2020-04-01,node_throughput,pagerank,0.9609515064786401
2020-04-01,node_throughput,eigenvector,0.9642498470737348
2020-04-01,node_throughput,share_monthly_network_flow,1.0
2020-04-01,total_voyages,total_route_exposure,0.9945780184089191
2020-04-01,total_voyages,total_degree,0.9807218192816132
2020-04-01,total_voyages,total_strength,0.994813906121088
2020-04-01,total_voyages,betweenness,0.5416590691637769
2020-04-01,total_voyages,pagerank,0.9583345368908055
2020-04-01,total_voyages,eigenvector,0.9521114700997004
2020-04-01,total_voyages,share_monthly_network_flow,0.996237172413388
2020-04-01,total_route_exposure,total_degree,0.982904755990523
2020-04-01,total_route_exposure,total_strength,0.9933968740031702
2020-04-01,total_route_exposure,betweenness,0.550058267453079
2020-04-01,total_route_exposure,pagerank,0.9553109099683179
2020-04-01,total_route_exposure,eigenvector,0.9601810375409469
2020-04-01,total_route_exposure,share_monthly_network_flow,0.9938199066800992
2020-04-01,total_degree,total_strength,0.9841938797930555
2020-04-01,total_degree,betweenness,0.5818265942468911
2020-04-01,total_degree,pagerank,0.9552989359542063
2020-04-01,total_degree,eigenvector,0.951132837564823
2020-04-01,total_degree,share_monthly_network_flow,0.9810168821121374
2020-04-01,total_strength,betweenness,0.5771929364436136
2020-04-01,total_strength,pagerank,0.9638705466736306
2020-04-01,total_strength,eigenvector,0.9626443875384499
2020-04-01,total_strength,share_monthly_network_flow,0.9988820630329791
2020-04-01,betweenness,pagerank,0.5728891623816057
2020-04-01,betweenness,eigenvector,0.5101285155692533
2020-04-01,betweenness,share_monthly_network_flow,0.5500265343484481
2020-04-01,pagerank,eigenvector,0.9286887593397143
2020-04-01,pagerank,share_monthly_network_flow,0.9609515064786401
2020-04-01,eigenvector,share_monthly_network_flow,0.9642498470737348
2020-05-01,node_throughput,total_voyages,0.9942260771831739
2020-05-01,node_throughput,total_route_exposure,0.9849456975262223
2020-05-01,node_throughput,total_degree,0.9681623346676035
2020-05-01,node_throughput,total_strength,0.997999222221243
2020-05-01,node_throughput,betweenness,0.516508467560202
2020-05-01,node_throughput,pagerank,0.9360276372321645
2020-05-01,node_throughput,eigenvector,0.9448548092489787
2020-05-01,node_throughput,share_monthly_network_flow,1.0
2020-05-01,total_voyages,total_route_exposure,0.9916860211420125
2020-05-01,total_voyages,total_degree,0.9764547011469503
2020-05-01,total_voyages,total_strength,0.9932822068919213
2020-05-01,total_voyages,betweenness,0.5217737361559994
2020-05-01,total_voyages,pagerank,0.9315235396963275
2020-05-01,total_voyages,eigenvector,0.9414061410354596
2020-05-01,total_voyages,share_monthly_network_flow,0.9942260771831739
2020-05-01,total_route_exposure,total_degree,0.9838318954678471
2020-05-01,total_route_exposure,total_strength,0.9858149164098905
2020-05-01,total_route_exposure,betweenness,0.5369588670148823
2020-05-01,total_route_exposure,pagerank,0.9273065474968761
2020-05-01,total_route_exposure,eigenvector,0.9360349154895319
2020-05-01,total_route_exposure,share_monthly_network_flow,0.9849456975262223
2020-05-01,total_degree,total_strength,0.9742694676256627
2020-05-01,total_degree,betweenness,0.5719237558415249
2020-05-01,total_degree,pagerank,0.9304427750757155
2020-05-01,total_degree,eigenvector,0.932383495925169
2020-05-01,total_degree,share_monthly_network_flow,0.9681623346676034
2020-05-01,total_strength,betweenness,0.5524674899287533
2020-05-01,total_strength,pagerank,0.941493313893675
2020-05-01,total_strength,eigenvector,0.9449848566968817
2020-05-01,total_strength,share_monthly_network_flow,0.997999222221243
2020-05-01,betweenness,pagerank,0.5468205695072493
2020-05-01,betweenness,eigenvector,0.4523716689319788
2020-05-01,betweenness,share_monthly_network_flow,0.516508467560202
2020-05-01,pagerank,eigenvector,0.9063630748530531
2020-05-01,pagerank,share_monthly_network_flow,0.9360276372321644
2020-05-01,eigenvector,share_monthly_network_flow,0.9448548092489786
2020-06-01,node_throughput,total_voyages,0.9960623915159623
2020-06-01,node_throughput,total_route_exposure,0.9863853624942817
2020-06-01,node_throughput,total_degree,0.9742232752836524
2020-06-01,node_throughput,total_strength,0.9968045383162424
2020-06-01,node_throughput,betweenness,0.525187437245149
2020-06-01,node_throughput,pagerank,0.9400412752012332
2020-06-01,node_throughput,eigenvector,0.9543402287739957
2020-06-01,node_throughput,share_monthly_network_flow,1.0
2020-06-01,total_voyages,total_route_exposure,0.9905350292463655
2020-06-01,total_voyages,total_degree,0.9789982494707191
2020-06-01,total_voyages,total_strength,0.9936097622056894
2020-06-01,total_voyages,betweenness,0.5264348463506477
2020-06-01,total_voyages,pagerank,0.9393051056976425
2020-06-01,total_voyages,eigenvector,0.9503735867407566
2020-06-01,total_voyages,share_monthly_network_flow,0.9960623915159622
2020-06-01,total_route_exposure,total_degree,0.9858856942587783
2020-06-01,total_route_exposure,total_strength,0.9880871071475437
2020-06-01,total_route_exposure,betweenness,0.5519109165721691
2020-06-01,total_route_exposure,pagerank,0.9404114906066616
