node_id,node_type,metric,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
CP001,chokepoint,betweenness,3.533333333333333,3.0,1.0,16.0,2.3467732384634785,0.9864081996434938,59,60,60,60,0.9833333333333333,1.0,1.0
CP001,chokepoint,eigenvector,6.383333333333334,5.5,1.0,37.0,5.129151205647526,0.9131907308377897,56,59,60,60,0.9333333333333333,0.9833333333333333,1.0
CP001,chokepoint,node_throughput,9.233333333333333,7.0,3.0,47.0,7.5338032951753835,0.953475935828877,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP001,chokepoint,pagerank,7.316666666666666,5.0,2.0,42.0,6.552245485629701,0.9662210338680928,48,57,59,60,0.8,0.95,0.9833333333333333
CP001,chokepoint,share_monthly_network_flow,9.233333333333333,7.0,3.0,47.0,7.5338032951753835,0.953475935828877,46,55,59,60,0.7666666666666667,0.9166666666666666,0.9833333333333333
CP001,chokepoint,total_degree,12.666666666666666,10.0,4.0,28.0,5.858983155447643,0.9245989304812834,31,52,60,60,0.5166666666666667,0.8666666666666667,1.0
CP001,chokepoint,total_route_exposure,10.55,8.0,3.0,49.0,8.230626971196243,0.9398395721925134,41,54,59,60,0.6833333333333333,0.9,0.9833333333333333
CP001,chokepoint,total_strength,7.183333333333334,6.0,2.0,31.0,4.760329238957829,0.9644830659536542,52,58,60,60,0.8666666666666667,0.9666666666666667,1.0
CP001,chokepoint,total_voyages,9.683333333333334,8.0,3.0,40.0,7.016908553609452,0.9470588235294117,46,54,59,60,0.7666666666666667,0.9,0.9833333333333333
CP002,chokepoint,betweenness,9.0,9.0,2.0,16.0,3.71893915983796,0.9569964349376114,43,60,60,60,0.7166666666666667,1.0,1.0
CP002,chokepoint,eigenvector,31.05,27.0,1.0,91.0,22.039583034598973,0.781283422459893,10,16,42,60,0.16666666666666666,0.26666666666666666,0.7
CP002,chokepoint,node_throughput,16.3,13.0,1.0,57.0,11.290163710512328,0.9168894830659536,17,46,56,60,0.2833333333333333,0.7666666666666667,0.9333333333333333
CP002,chokepoint,pagerank,9.566666666666666,8.0,1.0,26.0,6.3067536215503015,0.9541889483065954,37,54,60,60,0.6166666666666667,0.9,1.0
