metric,previous_month,current_month,spearman_rank_correlation
node_throughput,2020-01-01,2020-02-01,0.8528035945559911
node_throughput,2020-02-01,2020-03-01,0.8229262851196063
node_throughput,2020-03-01,2020-04-01,0.7922247033661738
node_throughput,2020-04-01,2020-05-01,0.7833127932838889
node_throughput,2020-05-01,2020-06-01,0.7440924631200488
node_throughput,2020-06-01,2020-07-01,0.7069820636374349
node_throughput,2020-07-01,2020-08-01,0.7433948883342556
node_throughput,2020-08-01,2020-09-01,0.7166957165791449
node_throughput,2020-09-01,2020-10-01,0.8036710595298611
node_throughput,2020-10-01,2020-11-01,0.8124282818370305
node_throughput,2020-11-01,2020-12-01,0.7533630789647653
node_throughput,2020-12-01,2021-01-01,0.7809612954632945
node_throughput,2021-01-01,2021-02-01,0.7078009672796338
node_throughput,2021-02-01,2021-03-01,0.79849376025758
node_throughput,2021-03-01,2021-04-01,0.8406779516460735
node_throughput,2021-04-01,2021-05-01,0.8264121108142959
node_throughput,2021-05-01,2021-06-01,0.7787229999252544
node_throughput,2021-06-01,2021-07-01,0.8245715080571056
node_throughput,2021-07-01,2021-08-01,0.8052823722304379
node_throughput,2021-08-01,2021-09-01,0.7974024097395453
node_throughput,2021-09-01,2021-10-01,0.8858342973164084
node_throughput,2021-10-01,2021-11-01,0.845390263772456
node_throughput,2021-11-01,2021-12-01,0.7971316440504754
node_throughput,2021-12-01,2022-01-01,0.7884083295003337
node_throughput,2022-01-01,2022-02-01,0.8147481741451301
node_throughput,2022-02-01,2022-03-01,0.8239709705719567
node_throughput,2022-03-01,2022-04-01,0.8468096423254489
node_throughput,2022-04-01,2022-05-01,0.8513083547196061
node_throughput,2022-05-01,2022-06-01,0.8432311524852549
node_throughput,2022-06-01,2022-07-01,0.8334070937751376
node_throughput,2022-07-01,2022-08-01,0.832538750944778
node_throughput,2022-08-01,2022-09-01,0.8274190370570431
node_throughput,2022-09-01,2022-10-01,0.8382403493355406
node_throughput,2022-10-01,2022-11-01,0.8602399868712606
node_throughput,2022-11-01,2022-12-01,0.8453161550251257
node_throughput,2022-12-01,2023-01-01,0.8508073534023238
node_throughput,2023-01-01,2023-02-01,0.8076410917139263
node_throughput,2023-02-01,2023-03-01,0.811989067620312
node_throughput,2023-03-01,2023-04-01,0.7994057899772246
node_throughput,2023-04-01,2023-05-01,0.7821150445622299
node_throughput,2023-05-01,2023-06-01,0.8424841236473459
node_throughput,2023-06-01,2023-07-01,0.7654748200415173
node_throughput,2023-07-01,2023-08-01,0.7684141841188524
node_throughput,2023-08-01,2023-09-01,0.8016380096344891
node_throughput,2023-09-01,2023-10-01,0.8072997762411053
node_throughput,2023-10-01,2023-11-01,0.8056524388502186
node_throughput,2023-11-01,2023-12-01,0.8156088616175083
node_throughput,2023-12-01,2024-01-01,0.806560334123108
node_throughput,2024-01-01,2024-02-01,0.8117481509962976
node_throughput,2024-02-01,2024-03-01,0.8420637410662872
node_throughput,2024-03-01,2024-04-01,0.8172985518912234
node_throughput,2024-04-01,2024-05-01,0.7170145067963315
node_throughput,2024-05-01,2024-06-01,0.727769578435499
node_throughput,2024-06-01,2024-07-01,0.6897813798018552
node_throughput,2024-07-01,2024-08-01,0.7152890316631417
node_throughput,2024-08-01,2024-09-01,0.6707444891003786
node_throughput,2024-09-01,2024-10-01,0.7594839850617974
node_throughput,2024-10-01,2024-11-01,0.6759416719278067
node_throughput,2024-11-01,2024-12-01,0.7232006560697049
total_voyages,2020-01-01,2020-02-01,0.8487913258398642
total_voyages,2020-02-01,2020-03-01,0.8225516468245845
total_voyages,2020-03-01,2020-04-01,0.7917428548722902
total_voyages,2020-04-01,2020-05-01,0.7758231551254821
total_voyages,2020-05-01,2020-06-01,0.7311598144067986
total_voyages,2020-06-01,2020-07-01,0.7068336419602392
total_voyages,2020-07-01,2020-08-01,0.7542682689319423
total_voyages,2020-08-01,2020-09-01,0.7304495233267947
total_voyages,2020-09-01,2020-10-01,0.8094403422287827
total_voyages,2020-10-01,2020-11-01,0.8122464945658684
total_voyages,2020-11-01,2020-12-01,0.7578885872679707
total_voyages,2020-12-01,2021-01-01,0.771170541428753
total_voyages,2021-01-01,2021-02-01,0.7080869353712892
total_voyages,2021-02-01,2021-03-01,0.8083356333876597
total_voyages,2021-03-01,2021-04-01,0.8406622156368412
total_voyages,2021-04-01,2021-05-01,0.82981818022806
total_voyages,2021-05-01,2021-06-01,0.7919129889705786
total_voyages,2021-06-01,2021-07-01,0.8146188396326497
total_voyages,2021-07-01,2021-08-01,0.7985978338736606
total_voyages,2021-08-01,2021-09-01,0.7998568676485897
total_voyages,2021-09-01,2021-10-01,0.8855518343551025
total_voyages,2021-10-01,2021-11-01,0.8468249097595202
total_voyages,2021-11-01,2021-12-01,0.8068925176992606
total_voyages,2021-12-01,2022-01-01,0.7925744410356791
total_voyages,2022-01-01,2022-02-01,0.8255213693369673
total_voyages,2022-02-01,2022-03-01,0.8354590245644474
total_voyages,2022-03-01,2022-04-01,0.8509799792741084
total_voyages,2022-04-01,2022-05-01,0.8536059189276488
total_voyages,2022-05-01,2022-06-01,0.8453207317801148
total_voyages,2022-06-01,2022-07-01,0.8360443671181433
total_voyages,2022-07-01,2022-08-01,0.8376042567671624
total_voyages,2022-08-01,2022-09-01,0.8287874959812523
total_voyages,2022-09-01,2022-10-01,0.8353553696877879
total_voyages,2022-10-01,2022-11-01,0.8642135426158046
total_voyages,2022-11-01,2022-12-01,0.848621969399003
total_voyages,2022-12-01,2023-01-01,0.8454133007463419
total_voyages,2023-01-01,2023-02-01,0.8127216727329802
total_voyages,2023-02-01,2023-03-01,0.8107501404824838
total_voyages,2023-03-01,2023-04-01,0.8026980961621245
total_voyages,2023-04-01,2023-05-01,0.7872678510530547
total_voyages,2023-05-01,2023-06-01,0.8470440401456549
total_voyages,2023-06-01,2023-07-01,0.7791178375850185
total_voyages,2023-07-01,2023-08-01,0.7868844643028106
total_voyages,2023-08-01,2023-09-01,0.8050305980827912
total_voyages,2023-09-01,2023-10-01,0.8243914625547479
total_voyages,2023-10-01,2023-11-01,0.8118222434946767
total_voyages,2023-11-01,2023-12-01,0.8181117068439456
total_voyages,2023-12-01,2024-01-01,0.7989275257744238
total_voyages,2024-01-01,2024-02-01,0.809806959694061
total_voyages,2024-02-01,2024-03-01,0.8403754389295389
total_voyages,2024-03-01,2024-04-01,0.8111802042579135
total_voyages,2024-04-01,2024-05-01,0.7182775886269465
total_voyages,2024-05-01,2024-06-01,0.7077334356511039
total_voyages,2024-06-01,2024-07-01,0.700573668959494
total_voyages,2024-07-01,2024-08-01,0.7264670108453162
total_voyages,2024-08-01,2024-09-01,0.6921145678759667
total_voyages,2024-09-01,2024-10-01,0.7725908282890751
total_voyages,2024-10-01,2024-11-01,0.709085474944987
total_voyages,2024-11-01,2024-12-01,0.7213821659533542
total_route_exposure,2020-01-01,2020-02-01,0.8443176939609636
total_route_exposure,2020-02-01,2020-03-01,0.8258949533775173
total_route_exposure,2020-03-01,2020-04-01,0.7778023702225403
total_route_exposure,2020-04-01,2020-05-01,0.7632579480309981
total_route_exposure,2020-05-01,2020-06-01,0.7215594844385206
total_route_exposure,2020-06-01,2020-07-01,0.7118285304085964
total_route_exposure,2020-07-01,2020-08-01,0.7340084454044563
total_route_exposure,2020-08-01,2020-09-01,0.7349410840530728
total_route_exposure,2020-09-01,2020-10-01,0.8016661167317615
total_route_exposure,2020-10-01,2020-11-01,0.7983694421987068
total_route_exposure,2020-11-01,2020-12-01,0.7369243662511086
total_route_exposure,2020-12-01,2021-01-01,0.7636235492187822
total_route_exposure,2021-01-01,2021-02-01,0.6985049976701482
total_route_exposure,2021-02-01,2021-03-01,0.7965203971297106
total_route_exposure,2021-03-01,2021-04-01,0.8235044018384184
total_route_exposure,2021-04-01,2021-05-01,0.8078421900649324
total_route_exposure,2021-05-01,2021-06-01,0.7814417134604182
total_route_exposure,2021-06-01,2021-07-01,0.8061818011632509
total_route_exposure,2021-07-01,2021-08-01,0.792820487028784
total_route_exposure,2021-08-01,2021-09-01,0.7838042768948162
total_route_exposure,2021-09-01,2021-10-01,0.871959985570652
