metric,previous_month,current_month,spearman_month_to_month
node_throughput,2020-01-01,2020-02-01,0.8560745691916074
node_throughput,2020-02-01,2020-03-01,0.8258279466952648
node_throughput,2020-03-01,2020-04-01,0.798101622344385
node_throughput,2020-04-01,2020-05-01,0.7906780936301004
node_throughput,2020-05-01,2020-06-01,0.749820137357027
node_throughput,2020-06-01,2020-07-01,0.7111107008438741
node_throughput,2020-07-01,2020-08-01,0.74890391253152
node_throughput,2020-08-01,2020-09-01,0.7228213731029667
node_throughput,2020-09-01,2020-10-01,0.8085522873042662
node_throughput,2020-10-01,2020-11-01,0.8179058761048447
node_throughput,2020-11-01,2020-12-01,0.7613607787225104
node_throughput,2020-12-01,2021-01-01,0.7882998340818906
node_throughput,2021-01-01,2021-02-01,0.7115571747210115
node_throughput,2021-02-01,2021-03-01,0.8025577596063691
node_throughput,2021-03-01,2021-04-01,0.8423050773044534
node_throughput,2021-04-01,2021-05-01,0.8319165193106068
node_throughput,2021-05-01,2021-06-01,0.79043969414286
node_throughput,2021-06-01,2021-07-01,0.8340512210103924
node_throughput,2021-07-01,2021-08-01,0.810819104844599
node_throughput,2021-08-01,2021-09-01,0.8026069171486956
node_throughput,2021-09-01,2021-10-01,0.8888909213136094
node_throughput,2021-10-01,2021-11-01,0.8506858378796067
node_throughput,2021-11-01,2021-12-01,0.8030795134095314
node_throughput,2021-12-01,2022-01-01,0.794651059350918
node_throughput,2022-01-01,2022-02-01,0.8202189223752567
node_throughput,2022-02-01,2022-03-01,0.8397674895689112
node_throughput,2022-03-01,2022-04-01,0.8595517703578228
node_throughput,2022-04-01,2022-05-01,0.853406429657882
node_throughput,2022-05-01,2022-06-01,0.8465883089893488
node_throughput,2022-06-01,2022-07-01,0.8370358177347721
node_throughput,2022-07-01,2022-08-01,0.8360454951960297
node_throughput,2022-08-01,2022-09-01,0.8380119902096098
node_throughput,2022-09-01,2022-10-01,0.8477727832450993
node_throughput,2022-10-01,2022-11-01,0.8642557977794335
node_throughput,2022-11-01,2022-12-01,0.8496526100338978
node_throughput,2022-12-01,2023-01-01,0.8556918027840149
node_throughput,2023-01-01,2023-02-01,0.8132545526768533
node_throughput,2023-02-01,2023-03-01,0.8147900603242169
node_throughput,2023-03-01,2023-04-01,0.8086846210593462
node_throughput,2023-04-01,2023-05-01,0.7946303748062464
node_throughput,2023-05-01,2023-06-01,0.843454768162349
node_throughput,2023-06-01,2023-07-01,0.7686203514905213
node_throughput,2023-07-01,2023-08-01,0.7763648898824307
