route_id,from_node_id,to_node_id,from_terminal,to_terminal,chokepoint_node_id,chokepoint,minimum_distance_km,exact_intersection,within_5km,new_at_5km,within_10km,new_at_10km,within_25km,new_at_25km
R435,LNGN0026,LNGN0136,Arzew-Bethioua LNG Terminal,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.2339895330612771,False,True,True,True,True,True,True
R193,LNGN0328,LNGN0136,Rasgas LNG Terminal 3,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.3607609612326942,False,True,True,True,True,True,True
R253,LNGN0083,LNGN0136,Damietta SEGAS LNG Terminal,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.3607609612326942,False,True,True,True,True,True,True
R478,LNGN0101,LNGN0136,Egyptian LNG Terminal,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.3607609612326942,False,True,True,True,True,True,True
R629,LNGN0274,LNGN0136,Oman Qalhat LNG Terminal,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.3607609612326942,False,True,True,True,True,True,True
R866,LNGN0206,LNGN0136,Kiyanly LNG Terminal,Gibraltar LNG Terminal,CP008,Gibraltar Strait,0.3607609612326942,False,True,True,True,True,True,True
R209,LNGN0297,LNGN0426,Pluto LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702032,False,False,False,False,False,True,True
R292,LNGN0142,LNGN0426,Gorgon LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702032,False,False,False,False,False,True,True
R548,LNGN0441,LNGN0426,Wheatstone LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702032,False,False,False,False,False,True,True
R045,LNGN0345,LNGN0181,Sabine Pass LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R063,LNGN0345,LNGN0314,Sabine Pass LNG Terminal,Pyeongtaek LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R069,LNGN0328,LNGN0426,Rasgas LNG Terminal 3,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R082,LNGN0124,LNGN0040,Freeport LNG Terminal,Boryeong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R144,LNGN0050,LNGN0040,Calcasieu Pass LNG Terminal,Boryeong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R189,LNGN0070,LNGN0314,Corpus Christi LNG Terminal,Pyeongtaek LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R196,LNGN0345,LNGN0421,Sabine Pass LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R227,LNGN0124,LNGN0421,Freeport LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R236,LNGN0309,LNGN0426,Prelude FLNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R246,LNGN0050,LNGN0421,Calcasieu Pass LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R255,LNGN0124,LNGN0314,Freeport LNG Terminal,Pyeongtaek LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R271,LNGN0351,LNGN0421,Sakhalin II LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R286,LNGN0124,LNGN0181,Freeport LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R323,LNGN0050,LNGN0314,Calcasieu Pass LNG Terminal,Pyeongtaek LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R334,LNGN0142,LNGN0354,Gorgon LNG Terminal,Samcheok LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R340,LNGN0274,LNGN0426,Oman Qalhat LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R372,LNGN0050,LNGN0449,Calcasieu Pass LNG Terminal,Xintian Tangshan LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R373,LNGN0070,LNGN0081,Corpus Christi LNG Terminal,Dalian LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R375,LNGN0070,LNGN0181,Corpus Christi LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R384,LNGN0124,LNGN0156,Freeport LNG Terminal,Gwangyang LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R414,LNGN0345,LNGN0040,Sabine Pass LNG Terminal,Boryeong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R421,LNGN0345,LNGN0363,Sabine Pass LNG Terminal,Shandong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R422,LNGN0351,LNGN0156,Sakhalin II LNG Terminal,Gwangyang LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R423,LNGN0351,LNGN0181,Sakhalin II LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R450,LNGN0050,LNGN0156,Calcasieu Pass LNG Terminal,Gwangyang LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R452,LNGN0050,LNGN0181,Calcasieu Pass LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R457,LNGN0050,LNGN0363,Calcasieu Pass LNG Terminal,Shandong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R465,LNGN0070,LNGN0040,Corpus Christi LNG Terminal,Boryeong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R469,LNGN0070,LNGN0421,Corpus Christi LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R470,LNGN0070,LNGN0449,Corpus Christi LNG Terminal,Xintian Tangshan LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R476,LNGN0085,LNGN0426,Das Island LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R491,LNGN0124,LNGN0363,Freeport LNG Terminal,Shandong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R493,LNGN0124,LNGN0449,Freeport LNG Terminal,Xintian Tangshan LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R511,LNGN0261,LNGN0426,Nigeria LNG Terminal,Tongyoung LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R539,LNGN0345,LNGN0319,Sabine Pass LNG Terminal,Qidong LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R560,LNGN0027,LNGN0081,Atlantic LNG Terminal,Dalian LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R562,LNGN0027,LNGN0181,Atlantic LNG Terminal,Incheon LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R567,LNGN0027,LNGN0421,Atlantic LNG Terminal,Tianjin LNG Terminal (Sinopec),CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
R591,LNGN0083,LNGN0354,Damietta SEGAS LNG Terminal,Samcheok LNG Terminal,CP012,Korea Strait,19.034079214702036,False,False,False,False,False,True,True
