route_id,from_node_id,to_node_id,from_terminal,to_terminal,chokepoint_node_id,chokepoint,minimum_distance_km,exact_intersection,within_5km,new_at_5km,within_10km,new_at_10km,within_25km,new_at_25km
R001,LNGN0452,LNGN0464,Yamal LNG Terminal,Zeebrugge LNG Terminal,CP001,Suez Canal,3394.1059907912395,False,False,False,False,False,False,False
R002,LNGN0328,LNGN0130,Rasgas LNG Terminal 3,GasPort FSRU,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R003,LNGN0452,LNGN0244,Yamal LNG Terminal,Montoir LNG Terminal,CP001,Suez Canal,3486.014265083214,False,False,False,False,False,False,False
R004,LNGN0328,LNGN0008,Rasgas LNG Terminal 3,Al Zour LNG Import Terminal,CP001,Suez Canal,1540.5197394416493,False,False,False,False,False,False,False
R005,LNGN0328,LNGN0385,Rasgas LNG Terminal 3,South Hook LNG Terminal,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
R006,LNGN0328,LNGN0464,Rasgas LNG Terminal 3,Zeebrugge LNG Terminal,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
R007,LNGN0261,LNGN0374,Nigeria LNG Terminal,Sines LNG Terminal,CP001,Suez Canal,3886.5948142114644,False,False,False,False,False,False,False
R008,LNGN0452,LNGN0097,Yamal LNG Terminal,Dunkirk LNG Terminal,CP001,Suez Canal,3435.893304243352,False,False,False,False,False,False,False
R009,LNGN0328,LNGN0230,Rasgas LNG Terminal 3,Map Ta Phut LNG Terminal 2,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R010,LNGN0328,LNGN0398,Rasgas LNG Terminal 3,Taichung LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R011,LNGN0452,LNGN0037,Yamal LNG Terminal,Bilbao LNG Terminal,CP001,Suez Canal,3483.15656436659,False,False,False,False,False,False,False
R012,LNGN0452,LNGN0132,Yamal LNG Terminal,Gate LNG Terminal,CP001,Suez Canal,3384.1670944906537,False,False,False,False,False,False,False
R013,LNGN0378,LNGN0121,Skikda LNG Terminal,Fos Tonkin LNG Terminal,CP001,Suez Canal,2494.971890586897,False,False,False,False,False,False,False
R014,LNGN0328,LNGN0181,Rasgas LNG Terminal 3,Incheon LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R015,LNGN0328,LNGN0449,Rasgas LNG Terminal 3,Xintian Tangshan LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R016,LNGN0328,LNGN0210,Rasgas LNG Terminal 3,Krk FSRU,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
R017,LNGN0328,LNGN0168,Rasgas LNG Terminal 3,Hazira LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R018,LNGN0345,LNGN0132,Sabine Pass LNG Terminal,Gate LNG Terminal,CP001,Suez Canal,3384.1670944906537,False,False,False,False,False,False,False
R019,LNGN0435,LNGN0427,Vysotsk LNG Terminal,Tornio Manga LNG Terminal,CP001,Suez Canal,3369.2049988452436,False,False,False,False,False,False,False
R020,LNGN0026,LNGN0121,Arzew-Bethioua LNG Terminal,Fos Tonkin LNG Terminal,CP001,Suez Canal,2845.306739178176,False,False,False,False,False,False,False
R021,LNGN0328,LNGN0474,Rasgas LNG Terminal 3,ÅšwinoujÅ›cie Polskie LNG Terminal,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
R022,LNGN0328,LNGN0319,Rasgas LNG Terminal 3,Qidong LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R023,LNGN0328,LNGN0195,Rasgas LNG Terminal 3,Jieyang LNG Terminal (PipeChina),CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R024,LNGN0435,LNGN0464,Vysotsk LNG Terminal,Zeebrugge LNG Terminal,CP001,Suez Canal,3157.3584132445376,False,False,False,False,False,False,False
R025,LNGN0328,LNGN0208,Rasgas LNG Terminal 3,Kochi LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R026,LNGN0297,LNGN0381,Pluto LNG Terminal,Sodegaura LNG Terminal,CP001,Suez Canal,9498.764207261449,False,False,False,False,False,False,False
R027,LNGN0026,LNGN0186,Arzew-Bethioua LNG Terminal,Izmir Aliaga LNG Terminal,CP001,Suez Canal,1112.059629248024,False,False,False,False,False,False,False
R028,LNGN0261,LNGN0178,Nigeria LNG Terminal,Huelva LNG Terminal,CP001,Suez Canal,3722.65160777906,False,False,False,False,False,False,False
R029,LNGN0026,LNGN0232,Arzew-Bethioua LNG Terminal,Marmara LNG Terminal,CP001,Suez Canal,1131.2424395017952,False,False,False,False,False,False,False
R030,LNGN0328,LNGN0121,Rasgas LNG Terminal 3,Fos Tonkin LNG Terminal,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
R031,LNGN0345,LNGN0385,Sabine Pass LNG Terminal,South Hook LNG Terminal,CP001,Suez Canal,3918.898113003235,False,False,False,False,False,False,False
R032,LNGN0328,LNGN0437,Rasgas LNG Terminal 3,Wenzhou LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R033,LNGN0297,LNGN0270,Pluto LNG Terminal,Ohgishima LNG Terminal,CP001,Suez Canal,9500.25078373512,False,False,False,False,False,False,False
R034,LNGN0328,LNGN0191,Rasgas LNG Terminal 3,Jebel Ali FLNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R035,LNGN0328,LNGN0314,Rasgas LNG Terminal 3,Pyeongtaek LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R036,LNGN0328,LNGN0381,Rasgas LNG Terminal 3,Sodegaura LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R037,LNGN0378,LNGN0278,Skikda LNG Terminal,Panigaglia LNG Terminal,CP001,Suez Canal,2483.1490307102035,False,False,False,False,False,False,False
R038,LNGN0070,LNGN0132,Corpus Christi LNG Terminal,Gate LNG Terminal,CP001,Suez Canal,3384.1670944906537,False,False,False,False,False,False,False
R039,LNGN0297,LNGN0173,Pluto LNG Terminal,Himeji LNG Terminal,CP001,Suez Canal,9112.159880475856,False,False,False,False,False,False,False
R040,LNGN0452,LNGN0248,Yamal LNG Terminal,Mugardos LNG Terminal,CP001,Suez Canal,3895.0616851557465,False,False,False,False,False,False,False
R041,LNGN0085,LNGN0168,Das Island LNG Terminal,Hazira LNG Terminal,CP001,Suez Canal,2051.4867872149803,False,False,False,False,False,False,False
R042,LNGN0328,LNGN0473,Rasgas LNG Terminal 3,Zhuhai LNG Terminal,CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R043,LNGN0166,LNGN0207,Hammerfest LNG Snohvit Terminal,Klaipeda FSRU,CP001,Suez Canal,2996.229310433555,False,False,False,False,False,False,False
R044,LNGN0345,LNGN0144,Sabine Pass LNG Terminal,Grain LNG Terminal,CP001,Suez Canal,3486.014265083214,False,False,False,False,False,False,False
R045,LNGN0345,LNGN0181,Sabine Pass LNG Terminal,Incheon LNG Terminal,CP001,Suez Canal,8294.209308049973,False,False,False,False,False,False,False
R046,LNGN0345,LNGN0097,Sabine Pass LNG Terminal,Dunkirk LNG Terminal,CP001,Suez Canal,3435.893304243352,False,False,False,False,False,False,False
R047,LNGN0435,LNGN0044,Vysotsk LNG Terminal,Brunnsviksholme LNG Terminal,CP001,Suez Canal,3369.2049988452436,False,False,False,False,False,False,False
R048,LNGN0070,LNGN0374,Corpus Christi LNG Terminal,Sines LNG Terminal,CP001,Suez Canal,3895.6299518456653,False,False,False,False,False,False,False
R049,LNGN0261,LNGN0056,Nigeria LNG Terminal,Cartagena LNG Terminal (Spain),CP001,Suez Canal,3199.9232178395673,False,False,False,False,False,False,False
R050,LNGN0328,LNGN0421,Rasgas LNG Terminal 3,Tianjin LNG Terminal (Sinopec),CP001,Suez Canal,1909.0568840245787,False,False,False,False,False,False,False
R051,LNGN0070,LNGN0385,Corpus Christi LNG Terminal,South Hook LNG Terminal,CP001,Suez Canal,3918.898113003235,False,False,False,False,False,False,False
R052,LNGN0070,LNGN0097,Corpus Christi LNG Terminal,Dunkirk LNG Terminal,CP001,Suez Canal,3435.893304243352,False,False,False,False,False,False,False
R053,LNGN0328,LNGN0035,Rasgas LNG Terminal 3,Barcelona LNG Terminal,CP001,Suez Canal,0.0,True,True,False,True,False,True,False
