from_node_id,to_node_id,cumulative_edge_flow,mean_monthly_edge_flow,active_months,cumulative_voyage_traversals
LNGN0328,CP006,370926663,6182111.05,60,1786
CP006,CP005,202681130,3378018.8333333335,60,975
CP005,CP011,135160979,2252682.9833333334,60,644
CP004,CP001,124463424,2109549.559322034,59,603
CP006,CP004,121713524,2062941.0847457626,59,587
CP002,CP022,89480746,1569837.649122807,57,526
CP001,CP008,78270310,1397684.107142857,56,363
LNGN0452,CP009,64898384,1081639.7333333334,60,379
CP015,CP020,62333600,1038893.3333333334,60,380
CP008,CP009,49851817,906396.6727272727,55,257
CP001,CP004,48459623,865350.4107142857,56,286
CP009,LNGN0097,48147148,859770.5,56,284
LNGN0452,LNGN0464,46832663,807459.7068965518,58,274
CP008,CP001,41842437,747186.375,56,247
CP011,CP017,41437825,812506.3725490196,51,208
CP009,LNGN0132,39901018,738907.7407407408,54,232
CP013,CP002,38581506,727952.9433962264,53,226
LNGN0142,CP015,36779645,634131.8103448276,58,222
LNGN0297,CP016,35690849,626155.245614035,57,260
CP008,LNGN0385,34241428,728541.0212765958,47,144
CP020,CP011,34030077,618728.6727272727,55,208
LNGN0345,CP009,33924194,665180.274509804,51,200
LNGN0261,CP007,32153311,554367.4310344828,58,206
CP009,LNGN0244,32112128,594669.0370370371,54,188
CP006,LNGN0130,31557211,606869.4423076923,52,196
CP009,LNGN0464,30764770,591630.1923076923,52,165
LNGN0345,CP008,30193205,569683.1132075472,53,177
LNGN0297,CP015,30095212,537414.5,56,184
LNGN0328,LNGN0008,29975256,788822.5263157894,38,145
CP005,CP014,29796308,541751.0545454546,55,163
CP011,LNGN0181,29617332,569564.0769230769,52,134
CP004,CP005,29458406,654631.2444444444,45,173
LNGN0452,CP008,26174039,623191.4047619047,42,154
CP017,LNGN0449,25944060,552001.2765957447,47,121
CP010,LNGN0474,25549571,491337.9038461539,52,134
CP007,CP019,24633924,456183.77777777775,54,155
CP005,LNGN0230,24101032,472569.2549019608,51,115
CP011,LNGN0319,23935964,520347.04347826086,46,109
LNGN0261,CP008,23382705,425140.0909090909,55,150
CP011,LNGN0314,23037317,490155.6808510638,47,114
LNGN0085,CP006,21824132,369900.5423728814,59,159
CP009,LNGN0144,21632757,540818.925,40,127
LNGN0070,CP009,21374840,577698.3783783783,37,124
LNGN0345,CP013,21264222,425284.44,50,126
CP006,LNGN0168,21059762,429791.0612244898,49,121
CP011,CP002,19195499,408414.87234042556,47,114
LNGN0070,CP008,18901094,393772.7916666667,48,110
LNGN0050,CP008,18231451,364629.02,50,108
CP017,LNGN0421,18123085,411888.29545454547,44,104
CP005,LNGN0195,18056777,392538.6304347826,46,95
CP009,LNGN0037,17208968,337430.7450980392,51,102
CP009,CP010,16520446,344175.9583333333,48,81
LNGN0261,LNGN0374,16339335,314217.98076923075,52,107
LNGN0441,CP016,16126568,343118.4680851064,47,99
LNGN0452,LNGN0132,15774008,303346.3076923077,52,92
CP006,LNGN0208,15560283,648345.125,24,63
CP016,LNGN0381,15341982,306839.64,50,100
CP011,LNGN0437,14940166,355718.2380952381,42,77
CP011,LNGN0398,14705170,326781.55555555556,45,102
CP001,LNGN0210,14693604,349847.71428571426,42,79
CP008,LNGN0121,14645948,340603.4418604651,43,88
