qa_variable,qa_rank,period_month,from_node_id,to_node_id,edge_type,lng_flow_cmb,voyage_count,route_count,share_global_monthly_lng,weight_row_normalized
lng_flow_cmb,1,2022-04,LNGN0328,CP006,terminal-chokepoint,9220003,45,20,0.3197882253458793,0.9771089517457764
lng_flow_cmb,2,2023-01,LNGN0328,CP006,terminal-chokepoint,9075161,45,21,0.3210390358146563,1.0
lng_flow_cmb,3,2023-05,LNGN0328,CP006,terminal-chokepoint,9020668,44,27,0.2584457587020222,0.8983277801136111
lng_flow_cmb,4,2022-07,LNGN0328,CP006,terminal-chokepoint,8863963,44,22,0.3281782160285072,0.8995583681756354
lng_flow_cmb,5,2023-03,LNGN0328,CP006,terminal-chokepoint,8835344,45,23,0.2448312550689319,0.958332646383273
lng_flow_cmb,6,2024-01,LNGN0328,CP006,terminal-chokepoint,8635615,40,22,0.2447421385198533,0.9109105387111518
lng_flow_cmb,7,2022-11,LNGN0328,CP006,terminal-chokepoint,8415582,43,21,0.2932232687983621,0.9595365810136636
lng_flow_cmb,8,2023-12,LNGN0328,CP006,terminal-chokepoint,8254004,41,20,0.2129055634280936,0.913657524044656
lng_flow_cmb,9,2023-04,LNGN0328,CP006,terminal-chokepoint,8186525,40,22,0.2428749146239356,0.883957035921274
lng_flow_cmb,10,2023-06,LNGN0328,CP006,terminal-chokepoint,8085148,42,21,0.2621182148691997,0.888066363979062
lng_flow_cmb,11,2023-11,LNGN0328,CP006,terminal-chokepoint,8027844,39,20,0.2393640806465102,0.9503709217782652
lng_flow_cmb,12,2023-02,LNGN0328,CP006,terminal-chokepoint,7917147,39,25,0.2463487802694626,0.8685545959858976
lng_flow_cmb,13,2022-10,LNGN0328,CP006,terminal-chokepoint,7600062,37,21,0.2678098247206044,0.9552902663503507
lng_flow_cmb,14,2024-04,LNGN0328,CP006,terminal-chokepoint,7586641,39,19,0.2383137269893627,0.9208048508940434
lng_flow_cmb,15,2022-08,LNGN0328,CP006,terminal-chokepoint,7454133,37,19,0.279714186284523,0.9268778080016952
lng_flow_cmb,16,2021-05,LNGN0328,CP006,terminal-chokepoint,7381064,35,17,0.3135957779948084,0.9454073913540229
lng_flow_cmb,17,2022-05,LNGN0328,CP006,terminal-chokepoint,7372609,35,17,0.2619750405171412,0.8942813177599885
lng_flow_cmb,18,2023-09,LNGN0328,CP006,terminal-chokepoint,7367966,36,22,0.2373083721221154,0.8842712997191874
lng_flow_cmb,19,2022-06,LNGN0328,CP006,terminal-chokepoint,7338766,37,20,0.2829256501348363,0.9519903446239694
