period_month,chokepoint_id,outgoing_cp_flow,incoming_cp_flow,chokepoint_throughput,flow_imbalance
2020-01-01,CP001,1750386,1750386,1750386.0,0
2020-01-01,CP002,1851120,1851120,1851120.0,0
2020-01-01,CP004,1750386,1750386,1750386.0,0
2020-01-01,CP005,3061938,3061938,3061938.0,0
2020-01-01,CP006,5600353,5600353,5600353.0,0
2020-01-01,CP007,515000,515000,515000.0,0
2020-01-01,CP008,2777177,2777177,2777177.0,0
2020-01-01,CP009,1390178,1390178,1390178.0,0
2020-01-01,CP010,437175,437175,437175.0,0
2020-01-01,CP011,3154833,3154833,3154833.0,0
2020-01-01,CP013,678000,678000,678000.0,0
2020-01-01,CP014,778620,778620,778620.0,0
2020-01-01,CP015,961097,961097,961097.0,0
2020-01-01,CP016,1140046,1140046,1140046.0,0
2020-01-01,CP017,856398,856398,856398.0,0
2020-01-01,CP018,167000,167000,167000.0,0
2020-01-01,CP019,170000,170000,170000.0,0
2020-01-01,CP020,808615,808615,808615.0,0
2020-01-01,CP022,1677120,1677120,1677120.0,0
2020-02-01,CP001,2670527,2670527,2670527.0,0
2020-02-01,CP002,1322874,1322874,1322874.0,0
2020-02-01,CP004,2670527,2670527,2670527.0,0
2020-02-01,CP005,1918600,1918600,1918600.0,0
2020-02-01,CP006,5491253,5491253,5491253.0,0
2020-02-01,CP007,823400,823400,823400.0,0
2020-02-01,CP008,2705335,2705335,2705335.0,0
2020-02-01,CP009,2134237,2134237,2134237.0,0
2020-02-01,CP010,285371,285371,285371.0,0
2020-02-01,CP011,2538322,2538322,2538322.0,0
2020-02-01,CP013,174000,174000,174000.0,0
2020-02-01,CP014,602200,602200,602200.0,0
2020-02-01,CP015,832948,832948,832948.0,0
2020-02-01,CP016,1293003,1293003,1293003.0,0
2020-02-01,CP017,760948,760948,760948.0,0
2020-02-01,CP019,673800,673800,673800.0,0
2020-02-01,CP020,659948,659948,659948.0,0
2020-02-01,CP022,1322874,1322874,1322874.0,0
2020-03-01,CP001,2869975,2869975,2869975.0,0
2020-03-01,CP002,1217082,1217082,1217082.0,0
2020-03-01,CP004,2869975,2869975,2869975.0,0
2020-03-01,CP005,1808700,1808700,1808700.0,0
2020-03-01,CP006,5520675,5520675,5520675.0,0
2020-03-01,CP007,475926,475926,475926.0,0
2020-03-01,CP008,2149468,2149468,2149468.0,0
2020-03-01,CP009,2581044,2581044,2581044.0,0
2020-03-01,CP010,364100,364100,364100.0,0
2020-03-01,CP011,2375648,2375648,2375648.0,0
2020-03-01,CP013,514082,514082,514082.0,0
2020-03-01,CP014,216000,216000,216000.0,0
2020-03-01,CP015,641906,641906,641906.0,0
2020-03-01,CP016,1197618,1197618,1197618.0,0
2020-03-01,CP017,515082,515082,515082.0,0
2020-03-01,CP018,332500,332500,332500.0,0
2020-03-01,CP019,330000,330000,330000.0,0
2020-03-01,CP020,641906,641906,641906.0,0
2020-03-01,CP022,1217082,1217082,1217082.0,0
2020-04-01,CP001,3329836,3329836,3329836.0,0
2020-04-01,CP002,1701212,1701212,1701212.0,0
2020-04-01,CP004,3329836,3329836,3329836.0,0
2020-04-01,CP005,1816270,1816270,1816270.0,0
2020-04-01,CP006,6112660,6112660,6112660.0,0
2020-04-01,CP007,174000,174000,174000.0,0
2020-04-01,CP008,3895138,3895138,3895138.0,0
2020-04-01,CP009,2718648,2718648,2718648.0,0
2020-04-01,CP010,363208,363208,363208.0,0
2020-04-01,CP011,3440464,3440464,3440464.0,0
2020-04-01,CP013,1198212,1198212,1198212.0,0
2020-04-01,CP014,180000,180000,180000.0,0
