period_month,active_edges,voyage_edge_traversals,total_edge_flow_exposure,unique_export_voyages,global_export_lng_volume,edge_flow_hhi,top_1_edge_flow_share,top_5_edge_flow_share,top_10_edge_flow_share,active_chokepoints,chokepoint_flow_hhi,top_1_chokepoint_flow_share,top_5_chokepoint_flow_share,mean_edge_traversals_per_voyage,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_coverage_watch
2020-01-01,121,260,47867191,108,18341749,0.029034060549291814,0.11413565086783554,0.2945683819215546,0.4115322538980823,19,0.0893540330452848,0.1896788877876917,0.5569915261556457,2.4074074074074074,0.7526132404181185,0.7749597373077851,0.8929889298892989,False
2020-02-01,116,269,48981270,119,20101103,0.026692211347375462,0.10931021184220009,0.2890371564477605,0.3811263162429231,18,0.08980338308185358,0.19013923984580838,0.5566437340892108,2.2605042016806722,0.8292682926829268,0.8492944429932353,0.8560885608856088,False
2020-03-01,114,254,44203918,98,16365149,0.028857874772819817,0.11833175059278682,0.29056784061539526,0.3964359448861524,19,0.09487028829409297,0.19830887637308964,0.582544328738099,2.5918367346938775,0.6829268292682927,0.6914461412618154,0.8413284132841329,False
2020-04-01,95,278,50991528,92,15672288,0.03571711073198481,0.11722849332932325,0.3355545650642201,0.4945083818629636,18,0.09005785255238777,0.1730688429309351,0.5693195550074124,3.0217391304347827,0.6411149825783972,0.6621719767014559,0.7011070110701108,False
2020-05-01,108,294,55090137,101,17691055,0.038541415113322396,0.1226901831810656,0.36442497864908197,0.4941397949328026,18,0.09841067634121854,0.18800244883016112,0.617632486273326,2.910891089108911,0.7038327526132404,0.7474671764125427,0.7970479704797048,False
2020-06-01,96,267,48868904,93,15935969,0.03893042717314456,0.13722603641775966,0.36216177469419,0.46125888151696626,19,0.11104979419320055,0.2261178968713235,0.6669616904779365,2.870967741935484,0.6480836236933798,0.6733127985768972,0.7084870848708487,False
2020-07-01,97,214,38827715,84,14032618,0.039194355578174016,0.1415155385785643,0.35440973026612566,0.47779296309350167,17,0.11366989786656498,0.22715236806696099,0.6690852227760997,2.5476190476190474,0.5853658536585366,0.5928940560150777,0.7158671586715867,False
2020-08-01,90,216,38941262,77,12811494,0.04008444725898222,0.1430182206216121,0.35706857677082987,0.4755817364111107,19,0.10866487582430877,0.22355384096789532,0.6470348684305196,2.8051948051948052,0.5365853658536586,0.5413001794300132,0.6642066420664207,False
2020-09-01,107,244,42457138,82,13121170,0.026941660268600415,0.09733703670746718,0.25995035275340506,0.4151935535551172,18,0.08761741271244171,0.15014510514873755,0.5871975998883009,2.975609756097561,0.5714285714285714,0.5543843423203965,0.7896678966789668,False
2020-10-01,113,232,41871714,88,14742842,0.025258245709477194,0.08827336277659902,0.283118980990365,0.38019210295523126,18,0.08337237951105246,0.14129806060495254,0.5463992384202335,2.6363636363636362,0.6132404181184669,0.622901827055325,0.8339483394833949,False
2020-11-01,118,248,42111218,96,15600558,0.018715501107315843,0.06046844809855654,0.21611134591262593,0.3290750459889334,19,0.07124680469054116,0.10433161603671881,0.4878687290320196,2.5833333333333335,0.6689895470383276,0.6591413026933727,0.8708487084870848,False
2020-12-01,119,234,37706193,98,15393215,0.021472023331904014,0.09912695243457753,0.22495747581836226,0.3241160676178579,19,0.09845419708799574,0.18986259924605312,0.5900131752919757,2.3877551020408165,0.6829268292682927,0.6503808253358094,0.8782287822878229,False
2021-01-01,100,235,40358349,91,15205221,0.023721104160223015,0.08741341227808898,0.259301241485374,0.3763572687277173,17,0.08537247165515327,0.14025535909490064,0.5518073139849644,2.5824175824175826,0.6341463414634146,0.6424378652148612,0.7380073800738007,False
2021-02-01,105,221,38229314,97,16052937,0.029223103348774704,0.12203386647220507,0.2843771405367096,0.38737226621435056,18,0.10544029793863152,0.2165534523515721,0.604385333095663,2.2783505154639174,0.6759581881533101,0.6782548294897298,0.7749077490774908,False
2021-03-01,135,362,65151610,142,23603869,0.029418802163656627,0.10583406918109929,0.3173397556867743,0.4313982724294918,19,0.09208982460418841,0.17251840479124966,0.5992272600332229,2.5492957746478875,0.9895470383275261,0.9972902867489557,0.996309963099631,False
2021-04-01,132,340,59575971,131,21461197,0.022437235414379062,0.09242155700659918,0.2501222682547633,0.36023708283327854,18,0.08146650527707526,0.15508694869868572,0.5211173756402177,2.595419847328244,0.9128919860627178,0.906759959992399,0.974169741697417,False
2021-05-01,133,381,67950717,141,23536873,0.028458927271783195,0.10862378391091886,0.29795401570229196,0.418058267140875,19,0.08929439013765468,0.18152367086262564,0.5325272453336847,2.702127659574468,0.9825783972125436,0.9944596296202014,0.981549815498155,False
2021-06-01,140,332,59102549,118,19945199,0.028259176950252644,0.10773552254066064,0.30346029576490857,0.39347665022028067,22,0.0869485954445545,0.17741583636277736,0.5607593465849962,2.8135593220338984,0.8222996515679443,0.8427073218367287,1.033210332103321,False
2021-07-01,137,387,68666661,128,21553563,0.02527939870485381,0.08953643457339508,0.27784334817153844,0.40017039710144053,21,0.08464295554305422,0.14539413222199907,0.5411974606297382,3.0234375,0.89198606271777,0.9106625284495385,1.011070110701107,False
2021-08-01,135,305,53389226,113,18743284,0.020781834344189225,0.07506553850396708,0.24772458772861777,0.34789667113735645,19,0.08151748767311691,0.131380206085896,0.5404188173033367,2.6991150442477876,0.7874564459930313,0.7919250473291948,0.996309963099631,False
2021-09-01,140,359,65521988,132,22754895,0.027773758985145183,0.10518275178097465,0.3015810967151974,0.4094085026846255,19,0.09298262196965768,0.173833956869596,0.5935488530866477,2.7196969696969697,0.9198606271777003,0.9614201705445992,1.033210332103321,False
2021-10-01,129,423,75730173,147,25028568,0.022125844662997825,0.08608881693694269,0.23025699413099188,0.37316997810106683,18,0.0863506513860083,0.14756698530549478,0.5555821753571707,2.877551020408163,1.024390243902439,1.0574854384099377,0.9520295202952029,False
2021-11-01,136,312,55280738,119,19890498,0.020271724033441248,0.08025735835871077,0.23026063798207613,0.3393254626955233,19,0.07922909988992215,0.13798086704130857,0.5197997809565575,2.6218487394957983,0.8292682926829268,0.8403961424290031,1.003690036900369,False
2021-12-01,139,359,63331057,150,24988095,0.02547902153173285,0.09814958559747392,0.2772316590263131,0.37404554924766215,18,0.09287894615902809,0.16915534590155032,0.6059385031338997,2.3933333333333335,1.0452961672473868,1.055775408169743,1.0258302583025831,False
2022-01-01,130,336,59463521,149,24941809,0.022893009701808707,0.09254494028364045,0.24585175506172935,0.3515611865634395,20,0.08660940420525756,0.1711979985233641,0.5778737450796183,2.2550335570469797,1.038327526132404,1.0538197720741325,0.959409594095941,False
2022-02-01,115,278,47745142,126,20839538,0.018726243536715224,0.0723199022007307,0.2132760229302491,0.30994020292158725,19,0.0914741979843003,0.1666987293799463,0.5913960898257479,2.2063492063492065,0.8780487804878049,0.880494160840147,0.8487084870848709,False
2022-03-01,135,387,68236912,170,28304905,0.022608499631547232,0.09678258887213419,0.24018951795473983,0.3549448867205479,18,0.0995174350700866,0.17660882910292988,0.6250450672314066,2.276470588235294,1.1846689895470384,1.1959143996203312,0.996309963099631,False
2022-04-01,133,416,74988496,169,28831590,0.03161346283156244,0.12295223256644593,0.3184033321591088,0.42116836161109306,20,0.11829522278021803,0.2318627032756485,0.6646337170000085,2.4615384615384617,1.1777003484320558,1.2181674393519266,0.981549815498155,False
2022-05-01,144,412,74507547,166,28142410,0.02395474312764946,0.09895117067805226,0.2631394374049115,0.37682886003480964,19,0.09391853852610671,0.1887551416056422,0.5745476175342693,2.4819277108433737,1.156794425087108,1.1890488012243534,1.062730627306273,False
2022-06-01,151,386,67890096,156,25938850,0.026159323210730896,0.10809774079565303,0.2846480582381265,0.39563334834583236,18,0.09723012200225574,0.20254216048791496,0.5834390234797794,2.4743589743589745,1.0871080139372822,1.0959458872796721,1.1143911439114391,False
2022-07-01,150,442,79547510,158,27009602,0.028681858889934,0.11142979836829588,0.30772616264167163,0.4217205290272443,19,0.10454761938118096,0.19371650656512626,0.630369294491132,2.7974683544303796,1.1010452961672474,1.1411863759943408,1.1070110701107012,False
2022-08-01,144,415,73161930,160,26649106,0.02430219778771596,0.10188540679558344,0.2641362659514313,0.37763719464481044,18,0.09159073990818771,0.18924748581165488,0.5569564428081167,2.59375,1.1149825783972125,1.1259550103562816,1.062730627306273,False
2022-09-01,154,396,68198665,145,23732136,0.02048240294165298,0.07810605970072874,0.2324541250184296,0.3579885617995601,20,0.08391363333951256,0.1391483243497598,0.5441471943987353,2.731034482758621,1.0104529616724738,1.0027097132510443,1.136531365313653,False
2022-10-01,159,458,80417221,171,28378578,0.023715093277988177,0.09450789153731139,0.2685185055076698,0.38693671098134563,20,0.08810528412199141,0.1602321182741064,0.5557564212425754,2.6783625730994154,1.1916376306620209,1.1990271675862803,1.1734317343173433,False
2022-11-01,145,425,75138887,170,28700253,0.02722041180369033,0.11200035475638599,0.2839248337548572,0.3888323498856192,20,0.09823958846163411,0.18703353763592614,0.6226610153950697,2.5,1.1846689895470384,1.2126183018613421,1.070110701107011,False
2022-12-01,148,423,74971630,173,29069060,0.023277118693642525,0.08645795749672243,0.2622170946530041,0.3674876083126377,18,0.09316066305966561,0.15012218270131716,0.6162496130390956,2.445086705202312,1.2055749128919862,1.2282008166933394,1.0922509225092252,False
2023-01-01,144,430,75872248,169,28268092,0.029879409073495747,0.11961107307641655,0.30440056290410694,0.3914760638171681,19,0.10261486153355255,0.20234054774545315,0.6363014397314386,2.544378698224852,1.1777003484320558,1.1943590085390603,1.062730627306273,False
2023-02-01,166,425,74570758,191,32137959,0.023860743148832568,0.10616959264380818,0.26706734025688733,0.35458525176852834,19,0.10225634993004541,0.1967757771529519,0.6385303736385619,2.225130890052356,1.3310104529616724,1.3578652866882197,1.2250922509225093,False
