dataset,variable,missing_count,missing_share
nodes,geometry_status,159,0.8502673796791443
nodes,UN_LOCODE,60,0.32085561497326204
nodes,start_year,28,0.1497326203208556
nodes,destination_lng_volume_cmb,28,0.1497326203208556
nodes,origin_lng_volume_cmb,28,0.1497326203208556
nodes,destination_export_voyages,28,0.1497326203208556
nodes,origin_export_voyages,28,0.1497326203208556
nodes,is_operating,28,0.1497326203208556
nodes,country,28,0.1497326203208556
nodes,region,28,0.1497326203208556
nodes,unit_count,28,0.1497326203208556
nodes,capacity_mtpa,28,0.1497326203208556
nodes,infrastructure_status,28,0.1497326203208556
nodes,infrastructure_type,28,0.1497326203208556
nodes,terminal_role,28,0.1497326203208556
nodes,node_name,0,0.0
nodes,latitude,0,0.0
nodes,longitude,0,0.0
nodes,coordinate_source,0,0.0
nodes,layer,0,0.0
nodes,node_type,0,0.0
nodes,node_id,0,0.0
edges,edge_period_id,0,0.0
edges,period_month,0,0.0
edges,year,0,0.0
edges,month,0,0.0
edges,from_node_id,0,0.0
edges,to_node_id,0,0.0
edges,edge_type,0,0.0
edges,route_count,0,0.0
edges,voyage_count,0,0.0
edges,lng_flow_cmb,0,0.0
edges,qa_watch_routes,0,0.0
edges,route_ids,0,0.0
edges,share_global_monthly_lng,0,0.0
edges,weight_row_normalized,0,0.0
