period_month,node_id,node_type,is_active,degree_undirected,is_articulation_point,global_bridge_count,global_bridge_share,local_bridge_only_count,local_bridge_only_share
2020-01-01,CP001,chokepoint,1,4,0,0,0.0,1,0.25
2020-01-01,CP002,chokepoint,1,9,1,3,0.3333333333333333,4,0.4444444444444444
2020-01-01,CP004,chokepoint,1,2,0,0,0.0,2,1.0
2020-01-01,CP005,chokepoint,1,4,1,1,0.25,3,0.75
2020-01-01,CP006,chokepoint,1,6,1,3,0.5,3,0.5
2020-01-01,CP007,chokepoint,1,4,1,1,0.25,3,0.75
2020-01-01,CP008,chokepoint,1,14,1,5,0.35714285714285715,1,0.07142857142857142
2020-01-01,CP009,chokepoint,1,9,1,2,0.2222222222222222,2,0.2222222222222222
2020-01-01,CP010,chokepoint,1,3,1,3,1.0,0,0.0
2020-01-01,CP011,chokepoint,1,14,1,7,0.5,7,0.5
2020-01-01,CP012,chokepoint,1,5,0,0,0.0,3,0.6
2020-01-01,CP013,chokepoint,1,4,0,0,0.0,0,0.0
2020-01-01,CP014,chokepoint,1,4,0,0,0.0,4,1.0
2020-01-01,CP015,chokepoint,1,4,1,1,0.25,3,0.75
2020-01-01,CP016,chokepoint,1,8,1,3,0.375,5,0.625
2020-01-01,CP017,chokepoint,1,4,1,2,0.5,2,0.5
2020-01-01,CP018,chokepoint,1,2,0,0,0.0,2,1.0
2020-01-01,CP019,chokepoint,1,2,0,0,0.0,2,1.0
2020-01-01,CP020,chokepoint,1,2,0,0,0.0,2,1.0
2020-01-01,CP021,chokepoint,0,0,0,0,0.0,0,0.0
2020-01-01,CP022,chokepoint,1,4,1,1,0.25,3,0.75
2020-01-01,CP023,chokepoint,0,0,0,0,0.0,0,0.0
2020-01-01,CP024,chokepoint,0,0,0,0,0.0,0,0.0
2020-01-01,CP027,chokepoint,1,5,1,2,0.4,3,0.6
2020-01-01,LNGN0004,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0006,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0008,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0013,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0017,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0025,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0026,terminal,1,2,1,2,1.0,0,0.0
2020-01-01,LNGN0027,terminal,1,4,1,2,0.5,2,0.5
2020-01-01,LNGN0031,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0035,terminal,1,1,0,1,1.0,0,0.0
2020-01-01,LNGN0037,terminal,1,2,1,2,1.0,0,0.0
2020-01-01,LNGN0039,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0040,terminal,1,1,0,1,1.0,0,0.0
2020-01-01,LNGN0044,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0045,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0050,terminal,1,4,0,0,0.0,1,0.25
2020-01-01,LNGN0052,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0055,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0056,terminal,1,1,0,1,1.0,0,0.0
2020-01-01,LNGN0059,terminal,0,0,0,0,0.0,0,0.0
2020-01-01,LNGN0069,terminal,0,0,0,0,0.0,0,0.0
