country,node_count
Japan,18
China,17
United States,11
Australia,7
Spain,7
Brazil,6
South Korea,6
Indonesia,6
India,5
Finland,4
France,4
Russia,4
Italy,3
Germany,3
Egypt,3
Norway,3
Malaysia,3
Türkiye,3
United Kingdom,2
Jamaica,2
Netherlands,2
United Arab Emirates,2
Sweden,2
Algeria,2
Taiwan,2
Chile,2
Equatorial Guinea,1
Qatar,1
Greece,1
Canada,1
Mexico,1
Philippines,1
Portugal,1
Bangladesh,1
Peru,1
Oman,1
Nigeria,1
Belgium,1
El Salvador,1
Thailand,1
Panama,1
Kuwait,1
Jordan,1
Trinidad and Tobago,1
Cameroon,1
Colombia,1
Mozambique,1
Malta,1
Croatia,1
Argentina,1
Pakistan,1
Gibraltar,1
Hong Kong,1
Turkmenistan,1
Lithuania,1
Poland,1
