country,terminal_count,total_capacity_mtpa,mean_capacity_mtpa,median_capacity_mtpa
South Korea,6,151.5,25.25,19.05
United States,11,130.57,11.87,12.06
Japan,18,98.5,5.472222222222222,2.5999999999999996
China,17,75.18,4.422352941176471,3.5
Australia,7,58.2,8.314285714285715,8.5
Spain,7,49.98,7.14,6.4
Brazil,6,33.6,5.6000000000000005,5.6
Russia,4,31.9,7.975,6.5
United Kingdom,2,29.9,14.95,14.95
Algeria,2,25.34,12.67,12.67
India,5,25.0,5.0,5.0
Türkiye,3,24.1,8.033333333333333,7.5
France,4,22.44,5.61,5.84
Nigeria,1,22.2,22.2,22.2
Kuwait,1,22.0,22.0,22.0
Germany,3,19.31,6.4366666666666665,5.7
Netherlands,2,17.64,8.82,8.82
Egypt,3,16.4,5.466666666666666,5.0
Qatar,1,15.6,15.6,15.6
Taiwan,2,15.5,7.75,7.75
Indonesia,6,14.7,2.4499999999999997,2.7
Malaysia,3,14.5,4.833333333333333,3.8
Trinidad and Tobago,1,12.0,12.0,12.0
United Arab Emirates,2,12.0,6.0,6.0
Oman,1,11.4,11.4,11.4
Belgium,1,11.3,11.3,11.3
Italy,3,9.86,3.2866666666666666,3.68
Thailand,1,7.5,7.5,7.5
Canada,1,7.5,7.5,7.5
Argentina,1,6.1,6.1,6.1
Hong Kong,1,6.1,6.1,6.1
Portugal,1,5.6,5.6,5.6
Chile,2,5.5,2.75,2.75
Greece,1,5.1,5.1,5.1
Pakistan,1,5.0,5.0,5.0
Philippines,1,5.0,5.0,5.0
Norway,3,4.63,1.5433333333333332,0.33
Poland,1,4.58,4.58,4.58
Peru,1,4.45,4.45,4.45
Finland,4,4.35,1.0875,0.28500000000000003
Jamaica,2,4.1,2.05,2.05
Bangladesh,1,3.8,3.8,3.8
Jordan,1,3.8,3.8,3.8
Equatorial Guinea,1,3.7,3.7,3.7
Mozambique,1,3.4,3.4,3.4
Colombia,1,3.04,3.04,3.04
Lithuania,1,2.9,2.9,2.9
Cameroon,1,2.4,2.4,2.4
El Salvador,1,2.15,2.15,2.15
Croatia,1,2.13,2.13,2.13
Panama,1,1.5,1.5,1.5
Mexico,1,0.8,0.8,0.8
Sweden,2,0.6000000000000001,0.30000000000000004,0.30000000000000004
Malta,1,0.5,0.5,0.5
Turkmenistan,1,0.2,0.2,0.2
Gibraltar,1,0.1,0.1,0.1
