group,terminal_count,total_capacity_mtpa,mean_capacity_mtpa,median_capacity_mtpa,min_capacity_mtpa,max_capacity_mtpa,grouping_dimension
export,36,305.84,8.495555555555555,6.6,0.06,29.5,infrastructure_type
import,123,771.31,6.270813008130081,5.0,0.1,54.5,infrastructure_type
South Korea,6,151.5,25.25,19.05,,,country
United States,11,130.57,11.87,12.06,,,country
Japan,18,98.5,5.472222222222222,2.5999999999999996,,,country
China,17,75.18,4.422352941176471,3.5,,,country
Australia,7,58.2,8.314285714285715,8.5,,,country
Spain,7,49.98,7.14,6.4,,,country
Brazil,6,33.6,5.6000000000000005,5.6,,,country
Russia,4,31.9,7.975,6.5,,,country
United Kingdom,2,29.9,14.95,14.95,,,country
Algeria,2,25.34,12.67,12.67,,,country
India,5,25.0,5.0,5.0,,,country
Türkiye,3,24.1,8.033333333333333,7.5,,,country
France,4,22.44,5.61,5.84,,,country
Nigeria,1,22.2,22.2,22.2,,,country
Kuwait,1,22.0,22.0,22.0,,,country
Germany,3,19.31,6.4366666666666665,5.7,,,country
Netherlands,2,17.64,8.82,8.82,,,country
Egypt,3,16.4,5.466666666666666,5.0,,,country
Qatar,1,15.6,15.6,15.6,,,country
Taiwan,2,15.5,7.75,7.75,,,country
Indonesia,6,14.7,2.4499999999999997,2.7,,,country
Malaysia,3,14.5,4.833333333333333,3.8,,,country
Trinidad and Tobago,1,12.0,12.0,12.0,,,country
United Arab Emirates,2,12.0,6.0,6.0,,,country
Oman,1,11.4,11.4,11.4,,,country
Belgium,1,11.3,11.3,11.3,,,country
Italy,3,9.86,3.2866666666666666,3.68,,,country
Thailand,1,7.5,7.5,7.5,,,country
Canada,1,7.5,7.5,7.5,,,country
Argentina,1,6.1,6.1,6.1,,,country
Hong Kong,1,6.1,6.1,6.1,,,country
Portugal,1,5.6,5.6,5.6,,,country
Chile,2,5.5,2.75,2.75,,,country
Greece,1,5.1,5.1,5.1,,,country
Pakistan,1,5.0,5.0,5.0,,,country
Philippines,1,5.0,5.0,5.0,,,country
Norway,3,4.63,1.5433333333333332,0.33,,,country
Poland,1,4.58,4.58,4.58,,,country
Peru,1,4.45,4.45,4.45,,,country
Finland,4,4.35,1.0875,0.28500000000000003,,,country
Jamaica,2,4.1,2.05,2.05,,,country
Bangladesh,1,3.8,3.8,3.8,,,country
Jordan,1,3.8,3.8,3.8,,,country
Equatorial Guinea,1,3.7,3.7,3.7,,,country
Mozambique,1,3.4,3.4,3.4,,,country
Colombia,1,3.04,3.04,3.04,,,country
Lithuania,1,2.9,2.9,2.9,,,country
Cameroon,1,2.4,2.4,2.4,,,country
El Salvador,1,2.15,2.15,2.15,,,country
Croatia,1,2.13,2.13,2.13,,,country
Panama,1,1.5,1.5,1.5,,,country
Mexico,1,0.8,0.8,0.8,,,country
Sweden,2,0.6000000000000001,0.30000000000000004,0.30000000000000004,,,country
Malta,1,0.5,0.5,0.5,,,country
Turkmenistan,1,0.2,0.2,0.2,,,country
Gibraltar,1,0.1,0.1,0.1,,,country
