period_month,active_edges,voyage_edge_traversals,total_edge_flow_exposure,unique_export_voyages,global_export_lng_volume,edge_flow_hhi,top_1_edge_flow_share,top_5_edge_flow_share,top_10_edge_flow_share,active_chokepoints,chokepoint_flow_hhi,top_1_chokepoint_flow_share,top_5_chokepoint_flow_share,mean_edge_traversals_per_voyage,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_voyages,qa_low_volume,qa_low_active_edges,qa_low_activity_watch
2020-01-01,118,270,49520806,108,18341749,0.028400512216197837,0.11032439577013346,0.28473205787482536,0.41068824687546485,21,0.08157936467997973,0.17961906288570562,0.5274508783251527,2.5,0.7526132404181185,0.7749597373077851,0.8838951310861424,False,False,False,False
2020-02-01,115,275,49970218,119,20101103,0.026442616395085536,0.10714688096817988,0.2833168948752635,0.38777877655046455,20,0.08456465715287063,0.1838438467293055,0.5382136029139128,2.310924369747899,0.8292682926829268,0.8492944429932353,0.8614232209737828,False,False,False,False
2020-03-01,112,263,45692406,98,16365149,0.027764027298329802,0.11447694393681086,0.2811022251706334,0.3873514999407122,21,0.08704528514476702,0.18824382382573318,0.5529776276042455,2.683673469387755,0.6829268292682927,0.6914461412618154,0.8389513108614233,True,True,False,True
2020-04-01,92,297,54363127,92,15672288,0.03367266737406071,0.10995798678026744,0.3147434841266581,0.47004095257434325,20,0.07884524004718899,0.15798726928614806,0.5197078822715631,3.2282608695652173,0.6411149825783972,0.6621719767014559,0.6891385767790262,True,True,True,True
2020-05-01,108,307,57371689,101,17691055,0.03677949133156835,0.11781105137065077,0.3536974830913554,0.4831316888718406,20,0.08986836220544754,0.17719270816086255,0.587563394274396,3.0396039603960396,0.7038327526132404,0.7474671764125427,0.8089887640449438,False,False,False,False
2020-06-01,98,273,49849331,93,15935969,0.03758639360677816,0.1345271012764444,0.3550388469606543,0.45218693105430036,21,0.10518328110143488,0.2195808837826223,0.6476799911492113,2.935483870967742,0.6480836236933798,0.6733127985768972,0.7340823970037453,True,True,False,True
2020-07-01,99,219,39621415,84,14032618,0.03786131950522843,0.138680685684749,0.34731016042713264,0.4682217684552659,19,0.1072269726682477,0.2201066740261373,0.6483318852386847,2.607142857142857,0.5853658536585366,0.5928940560150777,0.7415730337078652,True,True,False,True
2020-08-01,91,224,40337694,77,12811494,0.03809131185884674,0.13806713888999209,0.3447073846115249,0.4658037715294286,21,0.09938018033133697,0.21221272823709775,0.6142101343447334,2.909090909090909,0.5365853658536586,0.5413001794300132,0.6816479400749064,True,True,True,True
2020-09-01,105,254,44197448,82,13121170,0.02613468076984463,0.09350431273769472,0.25194603996140225,0.4027818529250829,20,0.07995251763226263,0.14173679357611615,0.5543138081079079,3.097560975609756,0.5714285714285714,0.5543843423203965,0.7865168539325843,True,True,False,True
2020-10-01,107,239,43101714,88,14742842,0.025779638787643614,0.0857542927411193,0.28842934181225366,0.39512008733573795,20,0.07725915639350826,0.13516958643489063,0.5227004445028702,2.715909090909091,0.6132404181184669,0.622901827055325,0.8014981273408239,True,True,False,True
2020-11-01,114,262,44460796,96,15600558,0.019647559800047277,0.06066841448362733,0.21560743087010859,0.33778488806183316,21,0.06334152242244037,0.09583774049264597,0.44815021968980295,2.7291666666666665,0.6689895470383276,0.6591413026933727,0.8539325842696629,True,True,False,True
2020-12-01,108,250,40375575,98,15393215,0.024439527419233054,0.09690759821996343,0.2649968452461668,0.3737160647247748,21,0.08514107031940307,0.16957565258046078,0.5486211470813807,2.5510204081632653,0.6829268292682927,0.6503808253358094,0.8089887640449438,True,True,False,True
2021-01-01,95,250,42873037,91,15205221,0.02460377648873977,0.08228623971751756,0.26208493230838764,0.4055615187699439,19,0.07555295084019086,0.12750775124426156,0.5016543409136449,2.7472527472527473,0.6341463414634146,0.6424378652148612,0.7116104868913857,True,True,False,True
2021-02-01,102,225,38883878,97,16052937,0.029021968483125406,0.11997957096769,0.2840905683327162,0.3856019196439203,20,0.09999966987235535,0.2103448561318607,0.58705758120088,2.3195876288659796,0.6759581881533101,0.6782548294897298,0.7640449438202247,True,True,False,True
2021-03-01,132,379,67949547,142,23603869,0.02803930117844209,0.10147617319656303,0.3042727569618676,0.41876205591186655,21,0.08253737354013622,0.16163356438027623,0.5614197397094707,2.6690140845070425,0.9895470383275261,0.9972902867489557,0.9887640449438202,False,False,False,False
2021-04-01,127,358,62531659,131,21461197,0.021825794148220088,0.0880530612501421,0.23829972270526195,0.347833295131351,20,0.07275292618432609,0.14392591931398288,0.4836145013416211,2.732824427480916,0.9128919860627178,0.906759959992399,0.951310861423221,False,False,False,False
2021-05-01,130,399,71060989,141,23536873,0.027977177947809535,0.10386942405206322,0.29429677653374625,0.41335017163918164,21,0.0801327936368281,0.16964363945244137,0.497675369700722,2.8297872340425534,0.9825783972125436,0.9944596296202014,0.9737827715355806,False,False,False,False
2021-06-01,138,346,61443187,118,19945199,0.026898731380679417,0.1036314083122023,0.29190017438385807,0.3827513537017538,23,0.07921176196439098,0.16740893558502162,0.5291304725424278,2.9322033898305087,0.8222996515679443,0.8427073218367287,1.0337078651685394,False,False,False,False
2021-07-01,130,399,70673573,128,21553563,0.024921272727100624,0.08699387534856912,0.2724154755837801,0.39126881274277725,23,0.07877515372990573,0.13945371753792396,0.5190855824337169,3.1171875,0.89198606271777,0.9106625284495385,0.9737827715355806,False,False,False,False
2021-08-01,128,321,56044841,113,18743284,0.021058835979005933,0.07150865143858647,0.24218507462622654,0.35137251972933603,21,0.0729941023890861,0.12202683657414086,0.5019447043457194,2.84070796460177,0.7874564459930313,0.7919250473291948,0.9588014981273408,False,False,False,False
2021-09-01,136,374,68318670,132,22754895,0.026478376102669655,0.1008770077052144,0.2892356218292891,0.39582092274337316,21,0.08416499477428618,0.16316411447471155,0.5571171177102863,2.8333333333333335,0.9198606271777003,0.9614201705445992,1.0187265917602997,False,False,False,False
2021-10-01,126,441,78732456,147,25028568,0.021381092824825313,0.08280601585704375,0.2214766677671023,0.35893999038973207,20,0.0785499969912369,0.13931734328062056,0.5245226937759142,3.0,1.024390243902439,1.0574854384099377,0.9438202247191011,False,False,False,False
2021-11-01,137,327,57765877,119,19890498,0.01955302899972983,0.07680461598462358,0.22035462215868376,0.32501945742120386,21,0.071547843121567,0.12892744914842966,0.4856938593274539,2.7478991596638656,0.8292682926829268,0.8403961424290031,1.0262172284644195,False,False,False,False
