period_month,active_nodes,active_directed_edges,directed_density,weak_components,largest_weak_component_share,is_weakly_connected
2020-01-01,92,118,0.01409460105112279,4,0.9239130434782609,0
2020-02-01,85,115,0.01610644257703081,3,0.9529411764705882,0
2020-03-01,82,112,0.016862390846130684,3,0.9512195121951219,0
2020-04-01,72,92,0.017996870109546165,2,0.9722222222222222,0
2020-05-01,87,108,0.014434643143544507,1,1.0,1
2020-06-01,82,98,0.014754591990364349,1,1.0,1
2020-07-01,83,99,0.01454598883338231,1,1.0,1
2020-08-01,86,91,0.012448700410396717,4,0.9069767441860465,0
2020-09-01,88,105,0.01371473354231975,3,0.8977272727272727,0
2020-10-01,83,107,0.015721422274463707,3,0.927710843373494,0
2020-11-01,89,114,0.014555669050051073,2,0.9662921348314607,0
2020-12-01,80,108,0.01708860759493671,2,0.975,0
2021-01-01,77,95,0.016233766233766232,3,0.935064935064935,0
2021-02-01,85,102,0.014285714285714285,4,0.9058823529411765,0
2021-03-01,94,132,0.015099519560741249,1,1.0,1
2021-04-01,91,127,0.015506715506715507,2,0.967032967032967,0
2021-05-01,96,130,0.01425438596491228,1,1.0,1
2021-06-01,98,138,0.014517147065011572,3,0.9489795918367347,0
2021-07-01,98,130,0.01367557332211235,2,0.9693877551020408,0
2021-08-01,94,128,0.014641958361930909,1,1.0,1
2021-09-01,93,136,0.015895278167367927,2,0.978494623655914,0
2021-10-01,86,126,0.017236662106703146,2,0.9767441860465116,0
2021-11-01,94,137,0.015671471059254174,2,0.9787234042553191,0
2021-12-01,93,133,0.015544647031323048,2,0.978494623655914,0
2022-01-01,89,130,0.016598569969356484,2,0.9662921348314607,0
2022-02-01,88,116,0.015151515151515152,3,0.9431818181818182,0
2022-03-01,93,137,0.016012155212716223,1,1.0,1
2022-04-01,88,134,0.017502612330198536,1,1.0,1
2022-05-01,94,143,0.016357812857469685,2,0.9787234042553191,0
2022-06-01,101,148,0.014653465346534653,2,0.9801980198019802,0
2022-07-01,97,147,0.015786082474226804,1,1.0,1
2022-08-01,97,144,0.015463917525773196,2,0.9690721649484536,0
2022-09-01,99,151,0.015563801278086993,1,1.0,1
2022-10-01,105,156,0.014285714285714285,3,0.9619047619047619,0
2022-11-01,102,150,0.014560279557367502,2,0.9803921568627451,0
2022-12-01,98,144,0.015148327372185988,2,0.9795918367346939,0
2023-01-01,97,145,0.015571305841924399,2,0.979381443298969,0
2023-02-01,111,171,0.014004914004914005,2,0.9819819819819819,0
2023-03-01,116,179,0.013418290854572714,2,0.9827586206896551,0
2023-04-01,115,169,0.012890922959572846,2,0.9826086956521739,0
2023-05-01,117,183,0.013483642793987621,1,1.0,1
2023-06-01,111,169,0.01384111384111384,1,1.0,1
2023-07-01,111,167,0.013677313677313677,3,0.954954954954955,0
2023-08-01,103,152,0.014467923091566724,1,1.0,1
2023-09-01,113,181,0.014301517067003793,1,1.0,1
2023-10-01,113,177,0.013985461441213654,3,0.9646017699115044,0
2023-11-01,122,188,0.01273540170708576,3,0.9672131147540983,0
2023-12-01,126,192,0.01219047619047619,1,1.0,1
2024-01-01,124,186,0.012195121951219513,1,1.0,1
2024-02-01,117,179,0.013188918361332154,2,0.9829059829059829,0
2024-03-01,117,176,0.012967875036840553,1,1.0,1
2024-04-01,121,184,0.012672176308539946,2,0.9834710743801653,0
2024-05-01,102,143,0.013880799844690352,3,0.9607843137254902,0
2024-06-01,85,112,0.01568627450980392,4,0.9176470588235294,0
2024-07-01,95,125,0.013997760358342666,1,1.0,1
2024-08-01,99,130,0.013399299113584827,2,0.9696969696969697,0
2024-09-01,87,112,0.014969259556268377,4,0.9195402298850575,0
2024-10-01,84,107,0.015347102696500288,1,1.0,1
2024-11-01,72,88,0.017214397496087636,1,1.0,1
2024-12-01,75,91,0.016396396396396395,1,1.0,1
