node_id,outgoing_flow,outgoing_edge_records,outgoing_neighbors,incoming_flow,incoming_edge_records,incoming_neighbors,node_type,incident_flow,node_throughput,flow_imbalance,in_degree,out_degree,total_degree
LNGN0328,410471223.0,123.0,3.0,0.0,0.0,0.0,terminal,410471223.0,410471223.0,410471223.0,0.0,3.0,3
CP006,408692535.0,304.0,12.0,408692535.0,181.0,8.0,chokepoint,817385070.0,408692535.0,0.0,8.0,12.0,18
CP005,243620570.0,354.0,18.0,243620570.0,155.0,9.0,chokepoint,487241140.0,243620570.0,0.0,9.0,18.0,25
CP008,231399307.0,523.0,24.0,231399307.0,465.0,19.0,chokepoint,462798614.0,231399307.0,0.0,19.0,24.0,40
CP009,219134605.0,391.0,12.0,219134605.0,380.0,15.0,chokepoint,438269210.0,219134605.0,0.0,15.0,12.0,25
CP011,201722108.0,483.0,22.0,201722108.0,259.0,13.0,chokepoint,403444216.0,201722108.0,0.0,13.0,22.0,34
LNGN0452,175559272.0,305.0,9.0,0.0,0.0,0.0,terminal,175559272.0,175559272.0,175559272.0,0.0,9.0,9
CP001,173751195.0,276.0,16.0,173751195.0,150.0,5.0,chokepoint,347502390.0,173751195.0,0.0,5.0,16.0,19
CP004,172923047.0,196.0,11.0,172923047.0,129.0,6.0,chokepoint,345846094.0,172923047.0,0.0,6.0,11.0,14
LNGN0345,139280195.0,385.0,19.0,0.0,0.0,0.0,terminal,139280195.0,139280195.0,139280195.0,0.0,19.0,19
CP002,109425038.0,158.0,14.0,109425038.0,309.0,15.0,chokepoint,218850076.0,109425038.0,0.0,15.0,14.0,24
CP022,105119015.0,478.0,44.0,105119015.0,130.0,5.0,chokepoint,210238030.0,105119015.0,0.0,5.0,44.0,48
LNGN0261,96162660.0,277.0,16.0,0.0,0.0,0.0,terminal,96162660.0,96162660.0,96162660.0,0.0,16.0,16
LNGN0070,86574571.0,288.0,16.0,0.0,0.0,0.0,terminal,86574571.0,86574571.0,86574571.0,0.0,16.0,16
LNGN0464,0.0,0.0,0.0,80188216.0,144.0,4.0,terminal,80188216.0,80188216.0,80188216.0,4.0,0.0,4
CP015,77479381.0,121.0,7.0,77479381.0,156.0,3.0,chokepoint,154958762.0,77479381.0,0.0,3.0,7.0,10
CP016,74138698.0,334.0,27.0,74138698.0,177.0,5.0,chokepoint,148277396.0,74138698.0,0.0,5.0,27.0,32
LNGN0297,68164083.0,126.0,4.0,0.0,0.0,0.0,terminal,68164083.0,68164083.0,68164083.0,0.0,4.0,4
LNGN0050,67188367.0,252.0,18.0,0.0,0.0,0.0,terminal,67188367.0,67188367.0,67188367.0,0.0,18.0,18
CP020,64269422.0,190.0,13.0,64269422.0,71.0,2.0,chokepoint,128538844.0,64269422.0,0.0,2.0,13.0,15
LNGN0385,0.0,0.0,0.0,61897133.0,152.0,12.0,terminal,61897133.0,61897133.0,61897133.0,12.0,0.0,12
LNGN0132,0.0,0.0,0.0,61110511.0,139.0,4.0,terminal,61110511.0,61110511.0,61110511.0,4.0,0.0,4
LNGN0124,54548298.0,186.0,14.0,0.0,0.0,0.0,terminal,54548298.0,54548298.0,54548298.0,0.0,14.0,14
LNGN0142,53986612.0,116.0,6.0,0.0,0.0,0.0,terminal,53986612.0,53986612.0,53986612.0,0.0,6.0,6
CP017,50733909.0,117.0,3.0,50733909.0,93.0,5.0,chokepoint,101467818.0,50733909.0,0.0,5.0,3.0,8
CP013,49298263.0,102.0,10.0,49298263.0,154.0,8.0,chokepoint,98596526.0,49298263.0,0.0,8.0,10.0,17
LNGN0097,0.0,0.0,0.0,48147148.0,56.0,1.0,terminal,48147148.0,48147148.0,48147148.0,1.0,0.0,1
CP010,47491457.0,205.0,10.0,47491457.0,224.0,10.0,chokepoint,94982914.0,47491457.0,0.0,10.0,10.0,19
LNGN0026,47256334.0,225.0,14.0,0.0,0.0,0.0,terminal,47256334.0,47256334.0,47256334.0,0.0,14.0,14
LNGN0244,0.0,0.0,0.0,46760157.0,125.0,7.0,terminal,46760157.0,46760157.0,46760157.0,7.0,0.0,7
LNGN0121,0.0,0.0,0.0,42309279.0,157.0,6.0,terminal,42309279.0,42309279.0,42309279.0,6.0,0.0,6
LNGN0230,0.0,0.0,0.0,41434553.0,124.0,7.0,terminal,41434553.0,41434553.0,41434553.0,7.0,0.0,7
LNGN0008,0.0,0.0,0.0,41429691.0,75.0,4.0,terminal,41429691.0,41429691.0,41429691.0,4.0,0.0,4
LNGN0181,0.0,0.0,0.0,40756519.0,99.0,6.0,terminal,40756519.0,40756519.0,40756519.0,6.0,0.0,6
CP007,40280738.0,134.0,10.0,40280738.0,99.0,3.0,chokepoint,80561476.0,40280738.0,0.0,3.0,10.0,13
LNGN0381,0.0,0.0,0.0,38242222.0,130.0,6.0,terminal,38242222.0,38242222.0,38242222.0,6.0,0.0,6
CP014,36239475.0,146.0,11.0,36239475.0,86.0,3.0,chokepoint,72478950.0,36239475.0,0.0,3.0,11.0,14
LNGN0130,0.0,0.0,0.0,35097687.0,74.0,4.0,terminal,35097687.0,35097687.0,35097687.0,4.0,0.0,4
LNGN0314,0.0,0.0,0.0,33739792.0,93.0,5.0,terminal,33739792.0,33739792.0,33739792.0,5.0,0.0,5
LNGN0463,0.0,0.0,0.0,33501412.0,145.0,8.0,terminal,33501412.0,33501412.0,33501412.0,8.0,0.0,8
LNGN0374,0.0,0.0,0.0,33419963.0,141.0,11.0,terminal,33419963.0,33419963.0,33419963.0,11.0,0.0,11
LNGN0168,0.0,0.0,0.0,32894585.0,106.0,5.0,terminal,32894585.0,32894585.0,32894585.0,5.0,0.0,5
LNGN0195,0.0,0.0,0.0,31946729.0,115.0,7.0,terminal,31946729.0,31946729.0,31946729.0,7.0,0.0,7
LNGN0144,0.0,0.0,0.0,29007820.0,68.0,3.0,terminal,29007820.0,29007820.0,29007820.0,3.0,0.0,3
LNGN0449,0.0,0.0,0.0,27852477.0,56.0,2.0,terminal,27852477.0,27852477.0,27852477.0,2.0,0.0,2
LNGN0027,27559221.0,137.0,16.0,0.0,0.0,0.0,terminal,27559221.0,27559221.0,27559221.0,0.0,16.0,16
LNGN0166,27501066.0,132.0,15.0,0.0,0.0,0.0,terminal,27501066.0,27501066.0,27501066.0,0.0,15.0,15
LNGN0441,27351270.0,92.0,3.0,0.0,0.0,0.0,terminal,27351270.0,27351270.0,27351270.0,0.0,3.0,3
LNGN0270,0.0,0.0,0.0,26709235.0,106.0,6.0,terminal,26709235.0,26709235.0,26709235.0,6.0,0.0,6
LNGN0037,0.0,0.0,0.0,26554309.0,102.0,11.0,terminal,26554309.0,26554309.0,26554309.0,11.0,0.0,11
LNGN0085,25925546.0,83.0,3.0,0.0,0.0,0.0,terminal,25925546.0,25925546.0,25925546.0,0.0,3.0,3
LNGN0474,0.0,0.0,0.0,25549571.0,52.0,1.0,terminal,25549571.0,25549571.0,25549571.0,1.0,0.0,1
LNGN0186,0.0,0.0,0.0,25325611.0,92.0,5.0,terminal,25325611.0,25325611.0,25325611.0,5.0,0.0,5
LNGN0319,0.0,0.0,0.0,25241681.0,54.0,4.0,terminal,25241681.0,25241681.0,25241681.0,4.0,0.0,4
CP019,25154724.0,117.0,13.0,25154724.0,57.0,3.0,chokepoint,50309448.0,25154724.0,0.0,3.0,13.0,16
LNGN0421,0.0,0.0,0.0,22881432.0,64.0,2.0,terminal,22881432.0,22881432.0,22881432.0,2.0,0.0,2
LNGN0232,0.0,0.0,0.0,21926159.0,87.0,4.0,terminal,21926159.0,21926159.0,21926159.0,4.0,0.0,4
LNGN0178,0.0,0.0,0.0,21561944.0,104.0,10.0,terminal,21561944.0,21561944.0,21561944.0,10.0,0.0,10
LNGN0426,0.0,0.0,0.0,20617467.0,82.0,7.0,terminal,20617467.0,20617467.0,20617467.0,7.0,0.0,7
LNGN0035,0.0,0.0,0.0,20210292.0,90.0,6.0,terminal,20210292.0,20210292.0,20210292.0,6.0,0.0,6
LNGN0056,0.0,0.0,0.0,19229689.0,76.0,5.0,terminal,19229689.0,19229689.0,19229689.0,5.0,0.0,5
LNGN0322,18963563.0,103.0,13.0,0.0,0.0,0.0,terminal,18963563.0,18963563.0,18963563.0,0.0,13.0,13
LNGN0398,0.0,0.0,0.0,18556510.0,65.0,2.0,terminal,18556510.0,18556510.0,18556510.0,2.0,0.0,2
LNGN0460,0.0,0.0,0.0,18494991.0,87.0,5.0,terminal,18494991.0,18494991.0,18494991.0,5.0,0.0,5
LNGN0208,0.0,0.0,0.0,18260770.0,40.0,5.0,terminal,18260770.0,18260770.0,18260770.0,5.0,0.0,5
LNGN0347,0.0,0.0,0.0,17888305.0,71.0,6.0,terminal,17888305.0,17888305.0,17888305.0,6.0,0.0,6
LNGN0437,0.0,0.0,0.0,16993637.0,52.0,3.0,terminal,16993637.0,16993637.0,16993637.0,3.0,0.0,3
LNGN0210,0.0,0.0,0.0,16836503.0,55.0,3.0,terminal,16836503.0,16836503.0,16836503.0,3.0,0.0,3
LNGN0473,0.0,0.0,0.0,14199746.0,55.0,6.0,terminal,14199746.0,14199746.0,14199746.0,6.0,0.0,6
LNGN0173,0.0,0.0,0.0,14162250.0,69.0,5.0,terminal,14162250.0,14162250.0,14162250.0,5.0,0.0,5
LNGN0040,0.0,0.0,0.0,14027114.0,61.0,3.0,terminal,14027114.0,14027114.0,14027114.0,3.0,0.0,3
LNGN0136,0.0,0.0,0.0,14003260.0,42.0,5.0,terminal,14003260.0,14003260.0,14003260.0,5.0,0.0,5
