period_month,metric_a,metric_b,spearman_correlation
2020-01-01,node_throughput,total_voyages,0.9908444002271078
2020-01-01,node_throughput,total_route_exposure,0.9876563294275933
2020-01-01,node_throughput,total_degree,0.9736791684554069
2020-01-01,node_throughput,betweenness,0.503630714683568
2020-01-01,node_throughput,pagerank,0.9172709402638005
2020-01-01,node_throughput,share_monthly_network_flow,1.0
2020-01-01,total_voyages,total_route_exposure,0.9920010664393263
2020-01-01,total_voyages,total_degree,0.9773192320309352
2020-01-01,total_voyages,betweenness,0.5014686926022847
2020-01-01,total_voyages,pagerank,0.9159942111943394
2020-01-01,total_voyages,share_monthly_network_flow,0.9908444002271078
2020-01-01,total_route_exposure,total_degree,0.9847586356662409
2020-01-01,total_route_exposure,betweenness,0.509161408128453
2020-01-01,total_route_exposure,pagerank,0.9059081446398628
2020-01-01,total_route_exposure,share_monthly_network_flow,0.9876563294275932
2020-01-01,total_degree,betweenness,0.5482280562297687
2020-01-01,total_degree,pagerank,0.9173495270005225
2020-01-01,total_degree,share_monthly_network_flow,0.9736791684554068
2020-01-01,betweenness,pagerank,0.5164801101570964
2020-01-01,betweenness,share_monthly_network_flow,0.5036307146835679
2020-01-01,pagerank,share_monthly_network_flow,0.9172709402638005
2020-02-01,node_throughput,total_voyages,0.9967099661767499
2020-02-01,node_throughput,total_route_exposure,0.991209142289234
2020-02-01,node_throughput,total_degree,0.976917069913539
2020-02-01,node_throughput,betweenness,0.5010642159117313
2020-02-01,node_throughput,pagerank,0.9192067032978471
2020-02-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2020-02-01,total_voyages,total_route_exposure,0.9931855325661275
2020-02-01,total_voyages,total_degree,0.9780869635433835
2020-02-01,total_voyages,betweenness,0.4915115652975182
2020-02-01,total_voyages,pagerank,0.9141372821627268
2020-02-01,total_voyages,share_monthly_network_flow,0.9967099661767499
2020-02-01,total_route_exposure,total_degree,0.9811231682311746
2020-02-01,total_route_exposure,betweenness,0.5056035655901668
2020-02-01,total_route_exposure,pagerank,0.9116706096312609
2020-02-01,total_route_exposure,share_monthly_network_flow,0.9912091422892341
2020-02-01,total_degree,betweenness,0.5416201363076641
2020-02-01,total_degree,pagerank,0.9190433536406256
2020-02-01,total_degree,share_monthly_network_flow,0.976917069913539
2020-02-01,betweenness,pagerank,0.5301233962225388
2020-02-01,betweenness,share_monthly_network_flow,0.5010642159117313
2020-02-01,pagerank,share_monthly_network_flow,0.919206703297847
2020-03-01,node_throughput,total_voyages,0.9974009211401696
2020-03-01,node_throughput,total_route_exposure,0.9871525743130027
2020-03-01,node_throughput,total_degree,0.973915285293565
2020-03-01,node_throughput,betweenness,0.5150749992163516
2020-03-01,node_throughput,pagerank,0.935465119464108
2020-03-01,node_throughput,share_monthly_network_flow,1.0
2020-03-01,total_voyages,total_route_exposure,0.9904781891841244
2020-03-01,total_voyages,total_degree,0.9768102553612996
2020-03-01,total_voyages,betweenness,0.5121133938222913
2020-03-01,total_voyages,pagerank,0.9346099061739921
2020-03-01,total_voyages,share_monthly_network_flow,0.9974009211401696
2020-03-01,total_route_exposure,total_degree,0.986219761466846
2020-03-01,total_route_exposure,betweenness,0.5331684938117532
2020-03-01,total_route_exposure,pagerank,0.9318260799321095
2020-03-01,total_route_exposure,share_monthly_network_flow,0.9871525743130027
2020-03-01,total_degree,betweenness,0.564592923570148
2020-03-01,total_degree,pagerank,0.9344978446696209
2020-03-01,total_degree,share_monthly_network_flow,0.9739152852935649
2020-03-01,betweenness,pagerank,0.5599005947784806
2020-03-01,betweenness,share_monthly_network_flow,0.5150749992163517
2020-03-01,pagerank,share_monthly_network_flow,0.935465119464108
2020-04-01,node_throughput,total_voyages,0.996033457441586
2020-04-01,node_throughput,total_route_exposure,0.9934849999743468
2020-04-01,node_throughput,total_degree,0.9799860187303784
2020-04-01,node_throughput,betweenness,0.5505142119304692
2020-04-01,node_throughput,pagerank,0.9588389264201223
2020-04-01,node_throughput,share_monthly_network_flow,1.0
2020-04-01,total_voyages,total_route_exposure,0.9942837397928271
2020-04-01,total_voyages,total_degree,0.9796734010617151
