node_id,period_month,node_type,node_name,country,incoming_flow,in_degree,in_voyages,in_route_count_sum,outgoing_flow,out_degree,out_voyages,out_route_count_sum,total_degree,in_route_exposure,out_route_exposure,total_route_exposure,betweenness,pagerank,incident_flow,node_throughput,flow_imbalance,incident_voyage_traversals,total_voyages,share_monthly_network_flow,active,months_since_last_active
CP001,2020-01-01,chokepoint,Suez Canal,,1750386.0,1.0,8.0,4.0,1750386.0,3.0,8.0,4.0,4.0,4.0,4.0,4.0,0.006349206349206349,0.015841183385522435,3500772.0,1750386.0,0.0,16.0,8.0,0.025793104901517486,1,0.0
CP001,2020-02-01,chokepoint,Suez Canal,,2670527.0,2.0,12.0,7.0,2670527.0,6.0,12.0,7.0,6.0,7.0,7.0,7.0,0.012621916236374067,0.021145393633997544,5341054.0,2670527.0,0.0,24.0,12.0,0.038111554939859064,1,0.0
CP001,2020-03-01,chokepoint,Suez Canal,,2869975.0,2.0,16.0,9.0,2869975.0,5.0,16.0,9.0,5.0,9.0,9.0,9.0,0.02978395061728395,0.025612607873376568,5739950.0,2869975.0,0.0,32.0,16.0,0.046246987977531503,1,0.0
CP001,2020-04-01,chokepoint,Suez Canal,,3329836.0,2.0,16.0,6.0,3329836.0,4.0,16.0,6.0,4.0,6.0,6.0,6.0,0.015291750503018108,0.022087382187674694,6659672.0,3329836.0,0.0,32.0,16.0,0.04754503132450918,1,0.0
CP001,2020-05-01,chokepoint,Suez Canal,,4847095.0,2.0,23.0,13.0,4847095.0,9.0,23.0,13.0,9.0,13.0,13.0,13.0,0.01764705882352941,0.022580058026993283,9694190.0,4847095.0,0.0,46.0,23.0,0.0645739116598242,1,0.0
CP001,2020-06-01,chokepoint,Suez Canal,,4227541.0,2.0,21.0,13.0,4227541.0,7.0,21.0,13.0,7.0,13.0,13.0,13.0,0.03518518518518519,0.027084747512268713,8455082.0,4227541.0,0.0,42.0,21.0,0.06426270002568962,1,0.0
CP001,2020-07-01,chokepoint,Suez Canal,,2819255.0,2.0,14.0,8.0,2819255.0,5.0,14.0,8.0,5.0,8.0,8.0,8.0,0.021077988557663355,0.02288863656040106,5638510.0,2819255.0,0.0,28.0,14.0,0.05254507149537109,1,0.0
CP001,2020-08-01,chokepoint,Suez Canal,,2885510.0,2.0,15.0,11.0,2885510.0,4.0,15.0,11.0,4.0,11.0,11.0,11.0,0.018487394957983194,0.025712817579477118,5771020.0,2885510.0,0.0,30.0,15.0,0.05429076357667026,1,0.0
CP001,2020-09-01,chokepoint,Suez Canal,,3041820.0,2.0,16.0,15.0,3041820.0,3.0,16.0,15.0,3.0,15.0,15.0,15.0,0.02953755680299385,0.027613595674113364,6083640.0,3041820.0,0.0,32.0,16.0,0.05306862074029768,1,0.0
CP001,2020-10-01,chokepoint,Suez Canal,,1292822.0,2.0,7.0,6.0,1292822.0,2.0,7.0,6.0,2.0,6.0,6.0,6.0,0.02168021680216802,0.022295108836356128,2585644.0,1292822.0,0.0,14.0,7.0,0.022349933846842907,1,0.0
CP001,2020-11-01,chokepoint,Suez Canal,,1242474.0,2.0,7.0,7.0,1242474.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,0.013845350052246606,0.019283404466604957,2484948.0,1242474.0,0.0,14.0,7.0,0.020686746422666394,1,0.0
CP001,2020-12-01,chokepoint,Suez Canal,,657874.0,2.0,4.0,4.0,657874.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,0.009899383317104837,0.015714400837470756,1315748.0,657874.0,0.0,8.0,4.0,0.01179645461197921,1,0.0
CP001,2021-01-01,chokepoint,Suez Canal,,325900.0,1.0,2.0,1.0,325900.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.002105263157894737,0.009640944910843257,651800.0,325900.0,0.0,4.0,2.0,0.005611394198496794,1,0.0
CP001,2021-02-01,chokepoint,Suez Canal,,1872719.0,2.0,10.0,7.0,1872719.0,5.0,10.0,7.0,5.0,7.0,7.0,7.0,0.013769363166953527,0.02113828467364684,3745438.0,1872719.0,0.0,20.0,10.0,0.034088597964770984,1,0.0
CP001,2021-03-01,chokepoint,Suez Canal,,4226570.0,3.0,20.0,9.0,4226570.0,5.0,20.0,9.0,6.0,9.0,9.0,9.0,0.021856007480130904,0.02136035641703305,8453140.0,4226570.0,0.0,40.0,20.0,0.04616507154686615,1,0.0
CP001,2021-04-01,chokepoint,Suez Canal,,1884443.0,2.0,9.0,6.0,1884443.0,4.0,9.0,6.0,4.0,6.0,6.0,6.0,0.011485642946317104,0.01620060776927553,3768886.0,1884443.0,0.0,18.0,9.0,0.022435753345498813,1,0.0
CP001,2021-05-01,chokepoint,Suez Canal,,3163364.0,3.0,15.0,8.0,3163364.0,5.0,15.0,8.0,6.0,8.0,8.0,8.0,0.014221724524076149,0.02254453344343105,6326728.0,3163364.0,0.0,30.0,15.0,0.03344012151141428,1,0.0
