node_group,metric,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_share
all,node_throughput,10980,489068.1223132969,1078771.0684823627,0.0,0.0,0.0,0.0,135000.0,499234.0,2283026.0999999996,5665375.479999992,10912603.0,0.4724954462659381
all,total_voyages,10980,2.8255009107468125,5.719381702224633,0.0,0.0,0.0,0.0,1.0,3.0,13.0,30.0,55.0,0.4724954462659381
all,total_route_exposure,10980,2.0624772313296904,3.792782977713241,0.0,0.0,0.0,0.0,1.0,2.0,10.0,20.0,31.0,0.4724954462659381
all,total_degree,10980,1.4639344262295082,2.5054947909069303,0.0,0.0,0.0,0.0,1.0,2.0,6.0,13.0,25.0,0.4724954462659381
all,betweenness,10980,0.0014219407774689976,0.006009137380557586,0.0,0.0,0.0,0.0,0.0,0.0,0.008471302994193729,0.03437159214387798,0.09456740442655935,0.8877959927140255
all,pagerank,10980,0.005464480874316941,0.006574211780134528,0.0,0.0,0.0,0.0,0.005293820966602924,0.00866730286098491,0.01787715069931915,0.027232360795850938,0.057226161841093096,0.4724954462659381
all,share_monthly_network_flow,10980,0.00546448087431694,0.011789767048405793,0.0,0.0,0.0,0.0,0.0011884781136318652,0.00561195356682725,0.02578244699115727,0.06426270002568962,0.11475484791816616,0.4724954462659381
chokepoint,node_throughput,1440,1728296.0006944444,1886762.7806684794,0.0,0.0,0.0,344750.0,1112785.0,2373977.0,5601948.599999999,8439507.889999986,10702065.0,0.1388888888888889
chokepoint,total_voyages,1440,9.541666666666666,9.79765753229936,0.0,0.0,0.0,2.0,7.0,13.0,30.0,43.6099999999999,55.0,0.1388888888888889
chokepoint,total_route_exposure,1440,7.143055555555556,6.452937044050499,0.0,0.0,0.0,2.0,6.0,10.0,21.0,26.0,31.0,0.1388888888888889
chokepoint,total_degree,1440,5.468055555555556,4.395219033372992,0.0,0.0,0.0,2.0,5.0,8.0,14.0,19.0,25.0,0.1388888888888889
chokepoint,betweenness,1440,0.010842298428201105,0.01316410439801046,0.0,0.0,0.0,0.0015841243215230613,0.005980562599429353,0.014047442550037063,0.040185692833834566,0.052532686452802735,0.09456740442655935,0.14444444444444443
chokepoint,pagerank,1440,0.01485276601329941,0.008790462422667511,0.0,0.0,0.0,0.009846733201407975,0.015108824203234924,0.019768570780531174,0.029183376909875748,0.0385525346733733,0.057226161841093096,0.1388888888888889
chokepoint,share_monthly_network_flow,1440,0.01934631947891721,0.020183430321787713,0.0,0.0,0.0,0.004591071039844973,0.01250710089249079,0.028166313170416884,0.06074323028077047,0.08530626354470848,0.11319741644409921,0.1388888888888889
terminal,node_throughput,9540,302014.8576519916,731836.2306536904,0.0,0.0,0.0,0.0,0.0,335568.0,1296247.6999999995,3091084.000000003,10912603.0,0.5228511530398323
terminal,total_voyages,9540,1.811740041928721,3.9155018510132495,0.0,0.0,0.0,0.0,0.0,2.0,8.0,18.0,52.0,0.5228511530398323
terminal,total_route_exposure,9540,1.2955974842767295,2.406320413432915,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,29.0,0.5228511530398323
terminal,total_degree,9540,0.859538784067086,1.2350280412077455,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,10.0,0.5228511530398323
terminal,betweenness,9540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
terminal,pagerank,9540,0.004047381230696945,0.004772210215896757,0.0,0.0,0.0,0.0,0.0,0.007353828970049414,0.012612341998118226,0.016923818162778093,0.032672308083372265,0.5228511530398323
terminal,share_monthly_network_flow,9540,0.003369109009471617,0.008065131124302339,0.0,0.0,0.0,0.0,0.0,0.0036711300311101265,0.014091308576910594,0.03499524953621331,0.11475484791816616,0.5228511530398323
