country,node_count
Japan,18
China,17
United States,11
Spain,7
Australia,7
Indonesia,6
Brazil,6
South Korea,6
India,5
France,4
Finland,4
Russia,4
Egypt,3
Germany,3
Türkiye,3
Norway,3
Malaysia,3
Italy,3
Algeria,2
Sweden,2
United Arab Emirates,2
Netherlands,2
United Kingdom,2
Chile,2
Jamaica,2
Taiwan,2
El Salvador,1
Kuwait,1
Jordan,1
Trinidad and Tobago,1
Cameroon,1
Colombia,1
Mozambique,1
Panama,1
Malta,1
Argentina,1
Pakistan,1
Gibraltar,1
Hong Kong,1
Turkmenistan,1
Lithuania,1
Croatia,1
Thailand,1
Nigeria,1
Oman,1
Peru,1
Philippines,1
Mexico,1
Equatorial Guinea,1
Qatar,1
Greece,1
Canada,1
Portugal,1
Bangladesh,1
Belgium,1
Poland,1
