node_type,country,node_count
terminal,Japan,18
terminal,China,17
terminal,United States,11
terminal,Australia,7
terminal,Spain,7
terminal,South Korea,6
terminal,Indonesia,6
terminal,Brazil,6
terminal,India,5
terminal,Finland,4
terminal,France,4
terminal,Russia,4
terminal,Egypt,3
terminal,Italy,3
terminal,Malaysia,3
terminal,Germany,3
terminal,Türkiye,3
terminal,Norway,3
terminal,Chile,2
terminal,Algeria,2
terminal,Jamaica,2
terminal,Taiwan,2
terminal,United Arab Emirates,2
terminal,Sweden,2
terminal,Netherlands,2
terminal,United Kingdom,2
terminal,Gibraltar,1
terminal,Equatorial Guinea,1
terminal,Hong Kong,1
terminal,Greece,1
terminal,El Salvador,1
terminal,Canada,1
terminal,Bangladesh,1
terminal,Belgium,1
terminal,Cameroon,1
terminal,Argentina,1
terminal,Croatia,1
terminal,Colombia,1
terminal,Kuwait,1
terminal,Lithuania,1
terminal,Peru,1
terminal,Panama,1
terminal,Pakistan,1
terminal,Oman,1
terminal,Nigeria,1
terminal,Mozambique,1
terminal,Malta,1
terminal,Mexico,1
terminal,Jordan,1
terminal,Poland,1
terminal,Portugal,1
terminal,Qatar,1
terminal,Philippines,1
terminal,Turkmenistan,1
terminal,Thailand,1
terminal,Trinidad and Tobago,1
