,missing_count,missing_share
geometry_status,159,0.8502673796791443
UN_LOCODE,60,0.32085561497326204
destination_lng_volume_cmb,28,0.1497326203208556
terminal_role,28,0.1497326203208556
country,28,0.1497326203208556
is_operating,28,0.1497326203208556
origin_export_voyages,28,0.1497326203208556
region,28,0.1497326203208556
origin_lng_volume_cmb,28,0.1497326203208556
destination_export_voyages,28,0.1497326203208556
node_id,0,0.0
longitude,0,0.0
layer,0,0.0
node_name,0,0.0
latitude,0,0.0
node_type,0,0.0
coordinate_source,0,0.0
