period_month,unique_export_voyages,global_export_lng_volume,active_edges,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_activity_watch
2020-01-01,108,18341749,121,0.7526132404181185,0.7749597373077851,0.8929889298892989,False
2020-02-01,119,20101103,116,0.8292682926829268,0.8492944429932353,0.8560885608856088,False
2020-03-01,98,16365149,114,0.6829268292682927,0.6914461412618154,0.8413284132841329,True
2020-04-01,92,15672288,95,0.6411149825783972,0.6621719767014559,0.7011070110701108,True
2020-05-01,101,17691055,108,0.7038327526132404,0.7474671764125427,0.7970479704797048,False
2020-06-01,93,15935969,96,0.6480836236933798,0.6733127985768972,0.7084870848708487,True
2020-07-01,84,14032618,97,0.5853658536585366,0.5928940560150777,0.7158671586715867,True
2020-08-01,77,12811494,90,0.5365853658536586,0.5413001794300132,0.6642066420664207,True
2020-09-01,82,13121170,107,0.5714285714285714,0.5543843423203965,0.7896678966789668,True
2020-10-01,88,14742842,113,0.6132404181184669,0.622901827055325,0.8339483394833949,True
2020-11-01,96,15600558,118,0.6689895470383276,0.6591413026933727,0.8708487084870848,True
2020-12-01,98,15393215,119,0.6829268292682927,0.6503808253358094,0.8782287822878229,True
2021-01-01,91,15205221,100,0.6341463414634146,0.6424378652148612,0.7380073800738007,True
2021-02-01,97,16052937,105,0.6759581881533101,0.6782548294897298,0.7749077490774908,True
2021-03-01,142,23603869,135,0.9895470383275261,0.9972902867489557,0.996309963099631,False
2021-04-01,131,21461197,132,0.9128919860627178,0.906759959992399,0.974169741697417,False
2021-05-01,141,23536873,133,0.9825783972125436,0.9944596296202014,0.981549815498155,False
2021-06-01,118,19945199,140,0.8222996515679443,0.8427073218367287,1.033210332103321,False
2021-07-01,128,21553563,137,0.89198606271777,0.9106625284495385,1.011070110701107,False
2021-08-01,113,18743284,135,0.7874564459930313,0.7919250473291948,0.996309963099631,False
2021-09-01,132,22754895,140,0.9198606271777003,0.9614201705445992,1.033210332103321,False
2021-10-01,147,25028568,129,1.024390243902439,1.0574854384099377,0.9520295202952029,False
2021-11-01,119,19890498,136,0.8292682926829268,0.8403961424290031,1.003690036900369,False
2021-12-01,150,24988095,139,1.0452961672473868,1.055775408169743,1.0258302583025831,False
2022-01-01,149,24941809,130,1.038327526132404,1.0538197720741325,0.959409594095941,False
2022-02-01,126,20839538,115,0.8780487804878049,0.880494160840147,0.8487084870848709,False
2022-03-01,170,28304905,135,1.1846689895470384,1.1959143996203312,0.996309963099631,False
2022-04-01,169,28831590,133,1.1777003484320558,1.2181674393519266,0.981549815498155,False
2022-05-01,166,28142410,144,1.156794425087108,1.1890488012243534,1.062730627306273,False
2022-06-01,156,25938850,151,1.0871080139372822,1.0959458872796721,1.1143911439114391,False
2022-07-01,158,27009602,150,1.1010452961672474,1.1411863759943408,1.1070110701107012,False
2022-08-01,160,26649106,144,1.1149825783972125,1.1259550103562816,1.062730627306273,False
2022-09-01,145,23732136,154,1.0104529616724738,1.0027097132510443,1.136531365313653,False
2022-10-01,171,28378578,159,1.1916376306620209,1.1990271675862803,1.1734317343173433,False
2022-11-01,170,28700253,145,1.1846689895470384,1.2126183018613421,1.070110701107011,False
2022-12-01,173,29069060,148,1.2055749128919862,1.2282008166933394,1.0922509225092252,False
2023-01-01,169,28268092,144,1.1777003484320558,1.1943590085390603,1.062730627306273,False
2023-02-01,191,32137959,166,1.3310104529616724,1.3578652866882197,1.2250922509225093,False
2023-03-01,221,36087484,182,1.5400696864111498,1.5247372058541906,1.3431734317343174,False
2023-04-01,201,33706754,168,1.4006968641114983,1.4241486580880665,1.2398523985239853,False
2023-05-01,209,34903525,188,1.456445993031359,1.474713592750381,1.3874538745387455,False
2023-06-01,189,30845426,169,1.3170731707317074,1.30325429870983,1.2472324723247232,False
2023-07-01,182,30129450,172,1.2682926829268293,1.273003499133482,1.2693726937269372,False
2023-08-01,173,28552337,155,1.2055749128919862,1.206368682781743,1.1439114391143912,False
2023-09-01,190,31048066,182,1.32404181184669,1.31181606897329,1.3431734317343174,False
2023-10-01,226,37732437,182,1.5749128919860627,1.5942383392937363,1.3431734317343174,False
2023-11-01,203,33538215,194,1.4146341463414633,1.417027693824183,1.4317343173431734,False
2023-12-01,237,38768381,194,1.651567944250871,1.6380081504554513,1.4317343173431734,False
2024-01-01,213,35284545,188,1.4843205574912892,1.490812120710229,1.3874538745387455,False
2024-02-01,211,34566584,184,1.470383275261324,1.46047745262829,1.3579335793357934,False
2024-03-01,205,33211928,188,1.4285714285714286,1.403241697308423,1.3874538745387455,False
2024-04-01,197,31834679,182,1.372822299651568,1.3450513620657256,1.3431734317343174,False
2024-05-01,147,24579945,139,1.024390243902439,1.0385306068815905,1.0258302583025831,False
2024-06-01,109,18831260,110,0.759581881533101,0.7956421332978987,0.8118081180811808,False
2024-07-01,119,20891007,122,0.8292682926829268,0.8826687845752932,0.9003690036900369,False
2024-08-01,120,19815927,128,0.8362369337979094,0.8372454329426406,0.9446494464944649,False
2024-09-01,108,18591492,110,0.7526132404181185,0.7855116628452274,0.8118081180811808,False
2024-10-01,115,18973395,106,0.8013937282229965,0.8016474985584441,0.7822878228782287,False
2024-11-01,70,11479472,86,0.4878048780487805,0.4850207363295656,0.6346863468634686,True
2024-12-01,82,14334265,90,0.5714285714285714,0.6056389845319646,0.6642066420664207,True
