period_month,unique_export_voyages,global_export_lng_volume,active_edges,voyages_vs_median,volume_vs_median,active_edges_vs_median
2020-03-01,98,16365149,114,0.6829268292682927,0.6914461412618154,0.8413284132841329
2020-04-01,92,15672288,95,0.6411149825783972,0.6621719767014559,0.7011070110701108
2020-06-01,93,15935969,96,0.6480836236933798,0.6733127985768972,0.7084870848708487
2020-07-01,84,14032618,97,0.5853658536585366,0.5928940560150777,0.7158671586715867
2020-08-01,77,12811494,90,0.5365853658536586,0.5413001794300132,0.6642066420664207
2020-09-01,82,13121170,107,0.5714285714285714,0.5543843423203965,0.7896678966789668
2020-10-01,88,14742842,113,0.6132404181184669,0.622901827055325,0.8339483394833949
2020-11-01,96,15600558,118,0.6689895470383276,0.6591413026933727,0.8708487084870848
2020-12-01,98,15393215,119,0.6829268292682927,0.6503808253358094,0.8782287822878229
2021-01-01,91,15205221,100,0.6341463414634146,0.6424378652148612,0.7380073800738007
2021-02-01,97,16052937,105,0.6759581881533101,0.6782548294897298,0.7749077490774908
2024-11-01,70,11479472,86,0.4878048780487805,0.4850207363295656,0.6346863468634686
2024-12-01,82,14334265,90,0.5714285714285714,0.6056389845319646,0.6642066420664207
