infrastructure_type,variable,spearman_with_capacity,terminals
export,active_share,0.56344850557,36
export,mean_throughput,0.6818620837,36
export,mean_voyage_count,0.619639407598,36
export,mean_counterparty_count,0.650718012812,36
export,mean_counterparty_hhi_terminal,-0.63807868267,36
export,mean_counterparty_hhi_country,-0.597226925088,36
export,mean_effective_counterparties_terminal,0.65700856488,36
export,mean_effective_counterparties_country,0.603420485076,36
export,mean_max_dependence_generated,0.47888504227,36
export,mean_weighted_dependence_generated,0.208561323966,36
export,mean_country_terminal_dependence,,0
export,mean_import_pagerank,0.634137245844,36
export,mean_export_pagerank,0.646797587411,36
export,mean_role_specific_pagerank,0.646797587411,36
export,mean_role_specific_dependence,0.208561323966,36
import,active_share,0.41498687702,123
import,mean_throughput,0.520902941995,123
import,mean_voyage_count,0.377149889973,123
import,mean_counterparty_count,0.430644105581,123
import,mean_counterparty_hhi_terminal,-0.420657004859,123
import,mean_counterparty_hhi_country,-0.430510575811,123
import,mean_effective_counterparties_terminal,0.424758518591,123
import,mean_effective_counterparties_country,0.431995322081,123
import,mean_max_dependence_generated,,0
import,mean_weighted_dependence_generated,,0
import,mean_country_terminal_dependence,-0.0162642836671,123
import,mean_import_pagerank,0.126205712118,123
import,mean_export_pagerank,0.116824642366,123
import,mean_role_specific_pagerank,0.126205712118,123
import,mean_role_specific_dependence,-0.0162642836671,123
