,capacity_mtpa,active_share,mean_throughput,mean_voyage_count,mean_counterparty_count,mean_counterparty_hhi_terminal,mean_counterparty_hhi_country,mean_effective_counterparties_terminal,mean_effective_counterparties_country,mean_max_dependence_generated,mean_weighted_dependence_generated,mean_country_terminal_dependence,mean_import_pagerank,mean_export_pagerank,mean_role_specific_pagerank,mean_role_specific_dependence
capacity_mtpa,1,0.459766406962,0.562116027618,0.44279954819,0.485397216239,-0.476143152521,-0.461009870177,0.479678818704,0.460914480523,0.47888504227,0.208561323966,-0.0162642836671,0.0198353927029,0.240825128338,0.277335774259,-0.0162757981644
active_share,0.459766406962,1,0.783787773222,0.888677019617,0.86439018736,-0.856664864252,-0.858372329924,0.854078856128,0.851099694812,0.52989478289,0.173481650116,0.048660637164,0.20261661968,0.408226765608,0.525537066243,0.0255957385481
mean_throughput,0.562116027618,0.783787773222,1,0.889302398279,0.910885648727,-0.900975463676,-0.883706805165,0.899461636496,0.878817430404,0.422014813147,-0.00180226576519,0.122505209419,0.0987249237702,0.327357245932,0.415293808917,0.0600033609628
mean_voyage_count,0.44279954819,0.888677019617,0.889302398279,1,0.950855332124,-0.941711106782,-0.918913300654,0.936400341971,0.912384479662,0.5782155464,0.128870299562,0.158297059867,0.148400959536,0.371362607645,0.536479826514,0.120469541845
mean_counterparty_count,0.485397216239,0.86439018736,0.910885648727,0.950855332124,1,-0.996910886026,-0.968185192282,0.99673037801,0.967634347524,0.576063893876,0.134414842008,0.103351649094,0.0963330548674,0.399269259918,0.535755250173,0.0683815875614
mean_counterparty_hhi_terminal,-0.476143152521,-0.856664864252,-0.900975463676,-0.941711106782,-0.996910886026,1,0.966576712904,-0.997257531171,-0.964525952003,-0.568780184407,-0.120236873192,-0.0901540292014,-0.0859984860966,-0.405484082898,-0.535308147069,-0.056117374549
mean_counterparty_hhi_country,-0.461009870177,-0.858372329924,-0.883706805165,-0.918913300654,-0.968185192282,0.966576712904,1,-0.966776601057,-0.997304664956,-0.540700474569,-0.092228548426,-0.0851259445447,-0.0940491320683,-0.405471162001,-0.524724536849,-0.0434225561005
mean_effective_counterparties_terminal,0.479678818704,0.854078856128,0.899461636496,0.936400341971,0.99673037801,-0.997257531171,-0.966776601057,1,0.968836517141,0.566462836439,0.123841404723,0.0867490137347,0.0843342225558,0.407933792281,0.534065235551,0.0540970162859
mean_effective_counterparties_country,0.460914480523,0.851099694812,0.878817430404,0.912384479662,0.967634347524,-0.964525952003,-0.997304664956,0.968836517141,1,0.529348538088,0.0721059560421,0.0792572430982,0.0850759257511,0.410775079363,0.523259299404,0.0389024878667
mean_max_dependence_generated,0.47888504227,0.52989478289,0.422014813147,0.5782155464,0.576063893876,-0.568780184407,-0.540700474569,0.566462836439,0.529348538088,1,0.811377825221,,0.655819593529,0.867237275752,0.867237275752,0.811377825221
mean_weighted_dependence_generated,0.208561323966,0.173481650116,-0.00180226576519,0.128870299562,0.134414842008,-0.120236873192,-0.092228548426,0.123841404723,0.0721059560421,0.811377825221,1,,0.404536745139,0.524066924067,0.524066924067,1
mean_country_terminal_dependence,-0.0162642836671,0.048660637164,0.122505209419,0.158297059867,0.103351649094,-0.0901540292014,-0.0851259445447,0.0867490137347,0.0792572430982,,,1,0.166531784933,0.0102891046752,0.166531784933,1
mean_import_pagerank,0.0198353927029,0.20261661968,0.0987249237702,0.148400959536,0.0963330548674,-0.0859984860966,-0.0940491320683,0.0843342225558,0.0850759257511,0.655819593529,0.404536745139,0.166531784933,1,-0.0779164947003,0.529498387534,0.0666753951134
mean_export_pagerank,0.240825128338,0.408226765608,0.327357245932,0.371362607645,0.399269259918,-0.405484082898,-0.405471162001,0.407933792281,0.410775079363,0.867237275752,0.524066924067,0.0102891046752,-0.0779164947003,1,0.574871626463,0.0782753232561
mean_role_specific_pagerank,0.277335774259,0.525537066243,0.415293808917,0.536479826514,0.535755250173,-0.535308147069,-0.524724536849,0.534065235551,0.523259299404,0.867237275752,0.524066924067,0.166531784933,0.529498387534,0.574871626463,1,0.197923783717
mean_role_specific_dependence,-0.0162757981644,0.0255957385481,0.0600033609628,0.120469541845,0.0683815875614,-0.056117374549,-0.0434225561005,0.0540970162859,0.0389024878667,0.811377825221,1,1,0.0666753951134,0.0782753232561,0.197923783717,1
