,throughput,voyage_count,counterparty_count,counterparty_hhi_terminal,counterparty_hhi_country,effective_counterparties_terminal,effective_counterparties_country,max_dependence_generated,weighted_dependence_generated,country_terminal_dependence,import_pagerank,export_pagerank,role_specific_pagerank,role_specific_dependence
throughput,1,0.913033975488,0.837268096164,-0.798030169635,-0.747608522987,0.798030169635,0.747608522987,0.401428266638,0.0992433192544,0.266049712811,0.059008723526,0.205195603256,0.458106927767,0.216032481249
voyage_count,0.913033975488,1,0.897391843314,-0.854137075292,-0.799775558036,0.854137075292,0.799775558036,0.493346106942,0.158134928482,0.317790267618,0.0626943546951,0.271651639001,0.551184516273,0.277024710462
counterparty_count,0.837268096164,0.897391843314,1,-0.985757256979,-0.914669724806,0.985757256979,0.914669724806,0.49608078554,0.127168602444,0.20307455542,0.0532793534066,0.327755686151,0.602716088719,0.195593885625
counterparty_hhi_terminal,-0.798030169635,-0.854137075292,-0.985757256979,1,0.919857524062,-1,-0.919857524062,-0.487245179925,-0.108730555598,-0.168820667014,-0.035745190247,-0.343721056981,-0.59582729877,-0.172125872351
counterparty_hhi_country,-0.747608522987,-0.799775558036,-0.914669724806,0.919857524062,1,-0.919857524062,-1,-0.43557447655,-0.0835059631033,-0.166207586078,-0.0142767891816,-0.328232021097,-0.544627886964,-0.163020489055
effective_counterparties_terminal,0.798030169635,0.854137075292,0.985757256979,-1,-0.919857524062,1,0.919857524062,0.487245179925,0.108730555598,0.168820667014,0.035745190247,0.343721056981,0.59582729877,0.172125872351
effective_counterparties_country,0.747608522987,0.799775558036,0.914669724806,-0.919857524062,-1,0.919857524062,1,0.43557447655,0.0835059631033,0.166207586078,0.0142767891816,0.328232021097,0.544627886964,0.163020489055
max_dependence_generated,0.401428266638,0.493346106942,0.49608078554,-0.487245179925,-0.43557447655,0.487245179925,0.43557447655,1,0.769136585024,,0.0928481190368,0.722154985583,0.722154985583,0.769136585024
weighted_dependence_generated,0.0992433192544,0.158134928482,0.127168602444,-0.108730555598,-0.0835059631033,0.108730555598,0.0835059631033,0.769136585024,1,,0.230274417048,0.525290781708,0.525290781708,1
country_terminal_dependence,0.266049712811,0.317790267618,0.20307455542,-0.168820667014,-0.166207586078,0.168820667014,0.166207586078,,,1,0.194579426357,0.0654917624802,0.194579426357,1
import_pagerank,0.059008723526,0.0626943546951,0.0532793534066,-0.035745190247,-0.0142767891816,0.035745190247,0.0142767891816,0.0928481190368,0.230274417048,0.194579426357,1,0.0476574937758,0.497249384531,0.0928714089426
export_pagerank,0.205195603256,0.271651639001,0.327755686151,-0.343721056981,-0.328232021097,0.343721056981,0.328232021097,0.722154985583,0.525290781708,0.0654917624802,0.0476574937758,1,0.69255093709,0.197630162339
role_specific_pagerank,0.458106927767,0.551184516273,0.602716088719,-0.59582729877,-0.544627886964,0.59582729877,0.544627886964,0.722154985583,0.525290781708,0.194579426357,0.497249384531,0.69255093709,1,0.294496022792
role_specific_dependence,0.216032481249,0.277024710462,0.195593885625,-0.172125872351,-0.163020489055,0.172125872351,0.163020489055,0.769136585024,1,1,0.0928714089426,0.197630162339,0.294496022792,1
