terminal_id,node_name,infrastructure_type,capacity_mtpa,active_share,mean_throughput,mean_voyage_count,mean_counterparty_count,mean_counterparty_hhi_terminal,mean_counterparty_hhi_country,mean_effective_counterparties_terminal,mean_effective_counterparties_country,mean_max_dependence_generated,mean_weighted_dependence_generated,mean_country_terminal_dependence,mean_import_pagerank,mean_export_pagerank,mean_role_specific_pagerank,mean_role_specific_dependence
LNGN0004,Acajutla FSRU,import,2.15,0.05,162052.666667,1,1,1,1,1,1,,,1,0.0127781408578,0.00850425058966,0.0127781408578,1
LNGN0006,Ain Sokhna Hoegh FSRU,import,4.2,0.05,166382.666667,1,1,1,1,1,1,,,1,0.0155267663203,0.00736698923138,0.0155267663203,1
LNGN0008,Al Zour LNG Import Terminal,import,22,0.666666666667,1035742.275,5.425,2.4,0.652029351107,0.656960181844,1.87294936226,1.834386827,,,1,0.0138193966689,0.00790544580023,0.0138193966689,1
LNGN0013,American LNG Hialeah Terminal,export,0.06,0.1,225400,1.33333333333,1.33333333333,0.888990919294,0.888990919294,1.33241674305,1.33241674305,0.760297581945,0.715548451569,,0.00889834753602,0.0127949948906,0.0127949948906,0.715548451569
LNGN0017,Aqaba Jordan FSRU,import,3.8,0.0333333333333,164500,1,1,1,1,1,1,,,1,0.0130470304815,0.00951835851373,0.0130470304815,1
LNGN0025,Arun LNG Import Terminal,import,3,0.25,270473.466667,1.6,1.4,0.829942526497,0.88137129024,1.35719250966,1.21952223221,,,0.517552288418,0.0151265036447,0.00823078462461,0.0151265036447,0.517552288418
LNGN0026,Arzew-Bethioua LNG Terminal,export,20.84,1,787605.566667,5.35,4.03333333333,0.34344303485,0.456620213557,3.63482531695,2.62397841182,0.827144669775,0.554284585644,,0.0108806991533,0.0224991883441,0.0224991883441,0.554284585644
LNGN0027,Atlantic LNG Terminal,export,12,0.933333333333,492128.946429,3.07142857143,2.89285714286,0.490921489455,0.518129942818,2.78244527476,2.56502828215,0.880079230306,0.626030758657,,0.0108589732156,0.0207581975503,0.0207581975503,0.626030758657
LNGN0031,Bahia FSRU,import,5.6,0.0333333333333,174000,1,1,1,1,1,1,,,0.666666666667,0.0164670128719,0.0105540310403,0.0164670128719,0.666666666667
LNGN0035,Barcelona LNG Terminal,import,12.6,0.85,396280.235294,2.50980392157,2.19607843137,0.582020269391,0.619844641761,2.08102836034,1.93559241504,,,0.203793087171,0.0137999988871,0.00832634807313,0.0137999988871,0.203793087171
