terminal_id,node_name,period_month,year,month,infrastructure_type,capacity_mtpa,terminal_role,active,export_share,outgoing_flow,incoming_flow,throughput,outgoing_voyages,incoming_voyages,voyage_count,mean_outgoing_voyage_distance,mean_incoming_voyage_distance,mean_voyage_distance,counterparty_count,counterparty_country_count,counterparty_hhi_terminal,counterparty_hhi_country,effective_counterparties_terminal,effective_counterparties_country,max_dependence_generated,weighted_dependence_generated,country_terminal_dependence,role_specific_dependence,import_pagerank,export_pagerank,role_specific_pagerank
LNGN0004,Acajutla FSRU,2020-01-01,2020,1,import,2.15,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0006,Ain Sokhna Hoegh FSRU,2020-01-01,2020,1,import,4.2,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0008,Al Zour LNG Import Terminal,2020-01-01,2020,1,import,22,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0013,American LNG Hialeah Terminal,2020-01-01,2020,1,export,0.06,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0017,Aqaba Jordan FSRU,2020-01-01,2020,1,import,3.8,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0025,Arun LNG Import Terminal,2020-01-01,2020,1,import,3,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0026,Arzew-Bethioua LNG Terminal,2020-01-01,2020,1,export,20.84,exporter,1,1,226500,0,226500,3,0,3,1146,,1146,2,2,0.555555555556,0.555555555556,1.8,1.8,1,1,,1,0.0112547443982,0.0237882077512,0.0237882077512
LNGN0027,Atlantic LNG Terminal,2020-01-01,2020,1,export,12,exporter,1,1,614532,0,614532,4,0,4,8684.75,,8684.75,4,4,0.252157985162,0.252157985162,3.96576772834,3.96576772834,1,0.670695684275,,0.670695684275,0.0112547443982,0.0289021380156,0.0289021380156
LNGN0031,Bahia FSRU,2020-01-01,2020,1,import,5.6,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0035,Barcelona LNG Terminal,2020-01-01,2020,1,import,12.6,importer,1,0,0,173000,173000,0,1,1,,8114,8114,1,1,1,1,1,1,,,0.167139746218,0.167139746218,0.0118981675227,0.00881075665694,0.0118981675227
LNGN0037,Bilbao LNG Terminal,2020-01-01,2020,1,import,5.1,importer,1,0,0,512062,512062,0,3,3,,6525.66666667,6525.66666667,2,2,0.560375719285,0.560375719285,1.78451700455,1.78451700455,,,0.494716258543,0.494716258543,0.0221051641875,0.00881075665694,0.0221051641875
LNGN0039,Bontang LNG Terminal,2020-01-01,2020,1,export,5.75,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0040,Boryeong LNG Terminal,2020-01-01,2020,1,import,10.8,importer,1,0,0,152615,152615,0,1,1,,7139,7139,1,1,1,1,1,1,,,0.100363997462,0.100363997462,0.0127552241889,0.00881075665694,0.0127552241889
LNGN0044,Brunnsviksholme LNG Terminal,2020-01-01,2020,1,import,0.4,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0045,Brunsbüttel FSRU,2020-01-01,2020,1,import,3.68,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0050,Calcasieu Pass LNG Terminal,2020-01-01,2020,1,export,12.06,exporter,1,1,681000,0,681000,4,0,4,11037.5,,11037.5,4,3,0.250355247638,0.370417089837,3.99432410318,2.69965945804,1,0.373627899858,,0.373627899858,0.0112547443982,0.0199663523398,0.0199663523398
LNGN0052,Cameroon FLNG Terminal,2020-01-01,2020,1,export,2.4,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0055,Cartagena FSRU (Colombia),2020-01-01,2020,1,import,3.04,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0056,Cartagena LNG Terminal (Spain),2020-01-01,2020,1,import,8.7,importer,1,0,0,170000,170000,0,1,1,,9128,9128,1,1,1,1,1,1,,,0.164241369116,0.164241369116,0.0136430553634,0.00881075665694,0.0136430553634
LNGN0059,Chaozhou LNG Terminal (Huaying),2020-01-01,2020,1,import,6,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0069,Coral South FLNG Terminal,2020-01-01,2020,1,export,3.4,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
LNGN0070,Corpus Christi LNG Terminal,2020-01-01,2020,1,export,15,exporter,1,1,325494,0,325494,2,0,2,10411,,10411,2,2,0.505619184158,0.505619184158,1.97777305793,1.97777305793,1,0.616750958085,,0.616750958085,0.0112547443982,0.0173674409651,0.0173674409651
LNGN0074,Costa Norte LNG Terminal,2020-01-01,2020,1,import,1.5,inactive,0,,0,0,0,0,0,0,,,,0,0,,,,,,,,,0,0,
