,throughput,voyage_count,counterparty_count,counterparty_hhi_terminal,counterparty_hhi_country,effective_counterparties_terminal,effective_counterparties_country,max_dependence_generated,weighted_dependence_generated,country_terminal_dependence,import_pagerank,export_pagerank,role_specific_pagerank,role_specific_dependence
throughput,1,0.984114152814,0.901998473084,-0.53618982784,-0.539447398245,0.809407513773,0.744802761797,0.305283195366,0.136652566854,0.228388850632,-0.0413229920801,0.790788140692,0.817150707493,0.138493686426
voyage_count,0.984114152814,1,0.925268632776,-0.591724259828,-0.589466007641,0.84043269478,0.774569190002,0.3487049004,0.1353237911,0.248117062082,-0.0410617017781,0.793883079715,0.818280408976,0.152426525525
counterparty_count,0.901998473084,0.925268632776,1,-0.725189288252,-0.707147215111,0.973831564626,0.895041226997,0.399744067771,0.0798970803755,0.122424448691,-0.0487479548693,0.826137935383,0.843552828171,0.093798866229
counterparty_hhi_terminal,-0.53618982784,-0.591724259828,-0.725189288252,1,0.928997918292,-0.763370380215,-0.751016500789,-0.509884868779,-0.0122186638922,-0.0772864880422,-0.112603786521,-0.471789000647,-0.522785307325,-0.079509355489
counterparty_hhi_country,-0.539447398245,-0.589466007641,-0.707147215111,0.928997918292,1,-0.735390784119,-0.821979270672,-0.464005903201,0.00156180942746,-0.0819453575672,-0.0810597582287,-0.475604578668,-0.51646695455,-0.0784608850894
effective_counterparties_terminal,0.809407513773,0.84043269478,0.973831564626,-0.763370380215,-0.735390784119,1,0.911346454624,0.410767264307,0.0419922495008,0.0768946845567,-0.0497293600366,0.787092814198,0.79923045601,0.0693159776051
effective_counterparties_country,0.744802761797,0.774569190002,0.895041226997,-0.751016500789,-0.821979270672,0.911346454624,1,0.383784884758,0.0255681413044,0.0700184602916,-0.0528703006356,0.727968105548,0.735298345425,0.0633230715223
max_dependence_generated,0.305283195366,0.3487049004,0.399744067771,-0.509884868779,-0.464005903201,0.410767264307,0.383784884758,1,0.72300328818,,0.0935941863858,0.484334554421,0.484334554421,0.72300328818
weighted_dependence_generated,0.136652566854,0.1353237911,0.0798970803755,-0.0122186638922,0.00156180942746,0.0419922495008,0.0255681413044,0.72300328818,1,,0.221482041803,0.34263339187,0.34263339187,1
country_terminal_dependence,0.228388850632,0.248117062082,0.122424448691,-0.0772864880422,-0.0819453575672,0.0768946845567,0.0700184602916,,,1,0.145864092826,0.0577745649716,0.145864092826,1
import_pagerank,-0.0413229920801,-0.0410617017781,-0.0487479548693,-0.112603786521,-0.0810597582287,-0.0497293600366,-0.0528703006356,0.0935941863858,0.221482041803,0.145864092826,1,-0.15292691112,0.1511393723,0.113669704893
export_pagerank,0.790788140692,0.793883079715,0.826137935383,-0.471789000647,-0.475604578668,0.787092814198,0.727968105548,0.484334554421,0.34263339187,0.0577745649716,-0.15292691112,1,0.945634521226,0.147485553963
role_specific_pagerank,0.817150707493,0.818280408976,0.843552828171,-0.522785307325,-0.51646695455,0.79923045601,0.735298345425,0.484334554421,0.34263339187,0.145864092826,0.1511393723,0.945634521226,1,0.180493014585
role_specific_dependence,0.138493686426,0.152426525525,0.093798866229,-0.079509355489,-0.0784608850894,0.0693159776051,0.0633230715223,0.72300328818,1,1,0.113669704893,0.147485553963,0.180493014585,1
