,throughput,voyage_count,counterparty_count,counterparty_hhi_terminal,counterparty_hhi_country,effective_counterparties_terminal,effective_counterparties_country,max_dependence_generated,weighted_dependence_generated,country_terminal_dependence,import_pagerank,export_pagerank,role_specific_pagerank,role_specific_dependence
throughput,1,0.913033975488,0.837268096164,-0.798030169635,-0.747608522987,0.798030169635,0.747608522987,0.401428266638,0.0992433192544,0.266049712811,0.0590008858076,0.205232353585,0.458107033368,0.216032481249
voyage_count,0.913033975488,1,0.897391843314,-0.854137075292,-0.799775558036,0.854137075292,0.799775558036,0.493346106942,0.158134928482,0.317790267618,0.0626910133609,0.271689579509,0.551184703883,0.277024710462
counterparty_count,0.837268096164,0.897391843314,1,-0.985757256979,-0.914669724806,0.985757256979,0.914669724806,0.49608078554,0.127168602444,0.20307455542,0.0532670901725,0.327818700233,0.602716089045,0.195593885625
counterparty_hhi_terminal,-0.798030169635,-0.854137075292,-0.985757256979,1,0.919857524062,-1,-0.919857524062,-0.487245179925,-0.108730555598,-0.168820667014,-0.0357328374004,-0.343782017571,-0.59582724477,-0.172125872351
counterparty_hhi_country,-0.747608522987,-0.799775558036,-0.914669724806,0.919857524062,1,-0.919857524062,-1,-0.43557447655,-0.0835059631033,-0.166207586078,-0.0142635040717,-0.328301589877,-0.544627835783,-0.163020489055
effective_counterparties_terminal,0.798030169635,0.854137075292,0.985757256979,-1,-0.919857524062,1,0.919857524062,0.487245179925,0.108730555598,0.168820667014,0.0357328374004,0.343782017571,0.59582724477,0.172125872351
effective_counterparties_country,0.747608522987,0.799775558036,0.914669724806,-0.919857524062,-1,0.919857524062,1,0.43557447655,0.0835059631033,0.166207586078,0.0142635040717,0.328301589877,0.544627835783,0.163020489055
max_dependence_generated,0.401428266638,0.493346106942,0.49608078554,-0.487245179925,-0.43557447655,0.487245179925,0.43557447655,1,0.769136585024,,0.0924985288319,0.722155018702,0.722155018702,0.769136585024
weighted_dependence_generated,0.0992433192544,0.158134928482,0.127168602444,-0.108730555598,-0.0835059631033,0.108730555598,0.0835059631033,0.769136585024,1,,0.230249725571,0.525290805798,0.525290805798,1
country_terminal_dependence,0.266049712811,0.317790267618,0.20307455542,-0.168820667014,-0.166207586078,0.168820667014,0.166207586078,,,1,0.194580865814,0.0655374340215,0.194580865814,1
import_pagerank,0.0590008858076,0.0626910133609,0.0532670901725,-0.0357328374004,-0.0142635040717,0.0357328374004,0.0142635040717,0.0924985288319,0.230249725571,0.194580865814,1,0.0476446295027,0.497236019901,0.0928703754331
export_pagerank,0.205232353585,0.271689579509,0.327818700233,-0.343782017571,-0.328301589877,0.343782017571,0.328301589877,0.722155018702,0.525290805798,0.0655374340215,0.0476446295027,1,0.692538316772,0.197661727093
role_specific_pagerank,0.458107033368,0.551184703883,0.602716089045,-0.59582724477,-0.544627835783,0.59582724477,0.544627835783,0.722155018702,0.525290805798,0.194580865814,0.497236019901,0.692538316772,1,0.294496593654
role_specific_dependence,0.216032481249,0.277024710462,0.195593885625,-0.172125872351,-0.163020489055,0.172125872351,0.163020489055,0.769136585024,1,1,0.0928703754331,0.197661727093,0.294496593654,1
