metric,missing,zero,count,mean,std,min,5%,25%,50%,75%,95%,max
throughput,0,0,4552,633226.656854,956204.436109,18000,96000,172000,346000,702000,1901713.95,10912603
voyage_count,0,0,4552,3.79833040422,4.96174925631,1,1,1,2,4,11,52
counterparty_count,0,0,4552,2.71528998243,2.87767972684,1,1,1,2,3,8,29
counterparty_hhi_terminal,0,0,4552,0.651507608531,0.330024773357,0.0467549529057,0.143122936115,0.34258189613,0.555555555556,1,1,1
counterparty_hhi_country,0,0,4552,0.70118865952,0.304736554342,0.0746117517929,0.200362174337,0.485447757361,0.673771083239,1,1,1
effective_counterparties_terminal,0,0,4552,2.40764513348,2.25687014715,1,1,1,1.8,2.91901056085,6.98700034805,21.388108379
effective_counterparties_country,0,0,4552,1.9508574657,1.46921212152,1,1,1,1.48418362241,2.05995806598,4.99096201004,13.4027143978
max_dependence_generated,3234,0,1318,0.771687242352,0.318658179585,0.0505311384104,0.172496267321,0.491525423729,1,1,1,1
weighted_dependence_generated,3234,0,1318,0.520820906048,0.241683609054,0.0505311384104,0.166002676109,0.340295722039,0.495399847592,0.667314472273,1,1
country_terminal_dependence,1318,0,3234,0.473716759431,0.369036385586,0.00892509347548,0.0528806937852,0.144870257067,0.333322026589,1,1,1
import_pagerank,0,0,4552,0.0131810193322,0.00417442085893,0.00776392105676,0.00835753826234,0.0103500782679,0.0122599645083,0.0149132480966,0.0214121982451,0.0402913273511
export_pagerank,0,0,4552,0.0131810193322,0.0129230005872,0.00586664436336,0.00630343236727,0.00761632058311,0.00881075665694,0.0117931147929,0.0358686411244,0.143439766561
role_specific_pagerank,0,0,4552,0.0174669631679,0.0120083101888,0.00633152576633,0.00885034660668,0.0115139953454,0.0141576782376,0.018577853384,0.0363241867774,0.143439766561
role_specific_dependence,0,0,4552,0.487355438087,0.337797036951,0.00892509347548,0.0605274608863,0.190660392936,0.406110865084,0.783439841591,1,1
