period_month,country_role,countries,total_throughput
2020-01-01,exporter,11,18479869
2020-01-01,importer,22,18203629
2020-02-01,exporter,9,20239162
2020-02-01,importer,21,19963044
2020-03-01,bidirectional,1,289948
2020-03-01,exporter,9,16503208
2020-03-01,importer,22,15937142
2020-04-01,exporter,9,15672288
2020-04-01,importer,20,15672288
2020-05-01,bidirectional,1,547180
2020-05-01,exporter,9,17281415
2020-05-01,importer,23,17553515
2020-06-01,bidirectional,1,740640
2020-06-01,exporter,9,15528429
2020-06-01,importer,19,15602869
2020-07-01,bidirectional,2,1702740
2020-07-01,exporter,8,12601978
2020-07-01,importer,22,13760518
2020-08-01,bidirectional,2,1710429
2020-08-01,exporter,8,11374124
2020-08-01,importer,22,12538435
2020-09-01,exporter,9,13259229
2020-09-01,importer,21,12983111
2020-10-01,exporter,8,15015901
2020-10-01,importer,19,14469783
2020-11-01,exporter,8,15600558
2020-11-01,importer,23,15600558
2020-12-01,exporter,9,15531274
2020-12-01,importer,19,15255156
2021-01-01,exporter,9,15343280
2021-01-01,importer,17,15067162
2021-02-01,exporter,8,16187937
2021-02-01,importer,22,15917937
2021-03-01,exporter,9,23603869
2021-03-01,importer,24,23603869
2021-04-01,bidirectional,1,615000
2021-04-01,exporter,10,21056197
2021-04-01,importer,21,21251197
2021-05-01,bidirectional,1,1107320
2021-05-01,exporter,9,22855773
2021-05-01,importer,25,23110653
2021-06-01,bidirectional,1,796690
2021-06-01,exporter,9,19535509
2021-06-01,importer,21,19558199
2021-07-01,bidirectional,1,917800
2021-07-01,exporter,8,20851763
2021-07-01,importer,24,21337563
2021-08-01,bidirectional,1,969200
2021-08-01,exporter,10,18337243
2021-08-01,importer,24,18180125
2021-09-01,bidirectional,1,968590
2021-09-01,exporter,9,22350364
2021-09-01,importer,22,22190836
2021-10-01,bidirectional,1,617100
2021-10-01,exporter,8,24759627
2021-10-01,importer,19,24680409
2021-11-01,exporter,10,20025498
2021-11-01,importer,22,19755498
2021-12-01,exporter,11,24988095
2021-12-01,importer,23,24988095
2022-01-01,exporter,11,24941809
2022-01-01,importer,23,24941809
2022-02-01,exporter,10,20977597
2022-02-01,importer,22,20701479
2022-03-01,bidirectional,1,483896
2022-03-01,exporter,9,28110957
2022-03-01,importer,21,28014957
2022-04-01,exporter,10,28831590
2022-04-01,importer,22,28831590
2022-05-01,exporter,12,28142410
2022-05-01,importer,24,28142410
2022-06-01,exporter,13,26076970
2022-06-01,importer,23,25800730
2022-07-01,bidirectional,1,1032180
2022-07-01,exporter,13,26349622
2022-07-01,importer,23,26637402
2022-08-01,exporter,14,26787226
2022-08-01,importer,24,26510986
2022-09-01,exporter,14,23732136
2022-09-01,importer,21,23732136
2022-10-01,bidirectional,1,691900
2022-10-01,exporter,13,27855347
2022-10-01,importer,23,28209909
2022-11-01,exporter,15,28718253
2022-11-01,importer,22,28682253
2022-12-01,bidirectional,1,619100
2022-12-01,exporter,13,28659960
2022-12-01,importer,22,28859060
2023-01-01,exporter,13,28429181
2023-01-01,importer,23,28107003
2023-02-01,bidirectional,2,1781735
2023-02-01,exporter,14,31187918
2023-02-01,importer,27,31306265
2023-03-01,bidirectional,3,3676990
2023-03-01,exporter,13,33917994
2023-03-01,importer,29,34579984
2023-04-01,bidirectional,3,1809371
2023-04-01,exporter,12,32611991
2023-04-01,importer,29,32992146
2023-05-01,bidirectional,1,888788
2023-05-01,exporter,13,34547451
2023-05-01,importer,29,33840811
2023-06-01,bidirectional,2,1253981
2023-06-01,exporter,14,30557513
2023-06-01,importer,29,29879358
2023-07-01,bidirectional,2,1596042
2023-07-01,exporter,12,29838378
2023-07-01,importer,27,28824480
2023-08-01,bidirectional,2,1405633
2023-08-01,exporter,13,27732765
2023-08-01,importer,26,27966276
2023-09-01,bidirectional,3,2268234
2023-09-01,exporter,14,29878105
2023-09-01,importer,27,29949793
2023-10-01,bidirectional,3,2022981
2023-10-01,exporter,10,36749064
2023-10-01,importer,25,36692829
2023-11-01,bidirectional,2,1334626
2023-11-01,exporter,15,33112321
2023-11-01,importer,29,32629483
2023-12-01,bidirectional,3,2499628
2023-12-01,exporter,13,38115419
2023-12-01,importer,29,36921715
2024-01-01,bidirectional,3,2290276
2024-01-01,exporter,13,34636152
2024-01-01,importer,33,33642662
2024-02-01,bidirectional,2,1280235
2024-02-01,exporter,12,33699842
2024-02-01,importer,30,33457091
2024-03-01,bidirectional,1,904900
2024-03-01,exporter,13,32876549
2024-03-01,importer,27,32642407
2024-04-01,bidirectional,1,399490
2024-04-01,exporter,15,32104017
2024-04-01,importer,27,31165851
2024-05-01,bidirectional,2,1941500
2024-05-01,exporter,10,24271945
2024-05-01,importer,27,22946445
2024-06-01,bidirectional,2,2346500
2024-06-01,exporter,12,18113160
2024-06-01,importer,25,17202860
2024-07-01,bidirectional,4,6109579
2024-07-01,exporter,10,17415536
2024-07-01,importer,23,18256899
2024-08-01,bidirectional,4,7156189
2024-08-01,exporter,9,15711715
2024-08-01,importer,26,16763950
2024-09-01,bidirectional,4,6547718
2024-09-01,exporter,7,14988935
2024-09-01,importer,21,15646331
2024-10-01,bidirectional,4,7808980
2024-10-01,exporter,9,15143852
2024-10-01,importer,21,14993958
2024-11-01,bidirectional,1,542980
2024-11-01,exporter,10,11343982
2024-11-01,importer,21,11071982
2024-12-01,bidirectional,2,1967881
2024-12-01,exporter,10,13976992
2024-12-01,importer,22,12723657
