period_month,terminal_role,terminal_months,terminals,total_throughput
2020-01-01,exporter,21,21,18341749
2020-01-01,importer,50,50,18341749
2020-01-01,inactive,88,88,0
2020-02-01,exporter,17,17,20101103
2020-02-01,importer,48,48,20101103
2020-02-01,inactive,94,94,0
2020-03-01,exporter,18,18,16365149
2020-03-01,importer,43,43,16365149
2020-03-01,inactive,98,98,0
2020-04-01,exporter,15,15,15672288
2020-04-01,importer,37,37,15672288
2020-04-01,inactive,107,107,0
2020-05-01,exporter,18,18,17691055
2020-05-01,importer,49,49,17691055
2020-05-01,inactive,92,92,0
2020-06-01,exporter,15,15,15935969
2020-06-01,importer,46,46,15935969
2020-06-01,inactive,98,98,0
2020-07-01,exporter,18,18,14032618
2020-07-01,importer,46,46,14032618
2020-07-01,inactive,95,95,0
2020-08-01,exporter,20,20,12811494
2020-08-01,importer,45,45,12811494
2020-08-01,inactive,94,94,0
2020-09-01,exporter,18,18,13121170
2020-09-01,importer,50,50,13121170
2020-09-01,inactive,91,91,0
2020-10-01,exporter,17,17,14742842
2020-10-01,importer,46,46,14742842
2020-10-01,inactive,96,96,0
2020-11-01,exporter,17,17,15600558
2020-11-01,importer,51,51,15600558
2020-11-01,inactive,91,91,0
2020-12-01,exporter,18,18,15393215
2020-12-01,importer,41,41,15393215
2020-12-01,inactive,100,100,0
2021-01-01,exporter,17,17,15205221
2021-01-01,importer,41,41,15205221
2021-01-01,inactive,101,101,0
2021-02-01,exporter,16,16,16052937
2021-02-01,importer,49,49,16052937
2021-02-01,inactive,94,94,0
2021-03-01,exporter,18,18,23603869
2021-03-01,importer,55,55,23603869
2021-03-01,inactive,86,86,0
2021-04-01,exporter,21,21,21461197
2021-04-01,importer,50,50,21461197
2021-04-01,inactive,88,88,0
2021-05-01,exporter,18,18,23536873
2021-05-01,importer,57,57,23536873
2021-05-01,inactive,84,84,0
2021-06-01,exporter,21,21,19945199
2021-06-01,importer,54,54,19945199
2021-06-01,inactive,84,84,0
