terminal_id,node_name,country,region,period_month,year,month,structural_role,terminal_role,active,export_share,outgoing_flow,incoming_flow,throughput,outgoing_voyages,incoming_voyages,voyage_count,counterparty_count,counterparty_country_count,counterparty_hhi_terminal,counterparty_hhi_country,effective_counterparties_terminal,effective_counterparties_country,max_dependence_generated,weighted_dependence_generated,country_terminal_dependence,role_specific_dependence,import_pagerank,export_pagerank,role_specific_pagerank,latitude,longitude
LNGN0004,Acajutla FSRU,El Salvador,Americas,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,13.576094,-89.840455
LNGN0006,Ain Sokhna Hoegh FSRU,Egypt,Africa,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,29.60254411,32.34039475
LNGN0008,Al Zour LNG Import Terminal,Kuwait,Asia,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,28.71836828,48.3973631
LNGN0013,American LNG Hialeah Terminal,United States,Americas,2020-01-01,2020,1,export_origin,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,25.809175,-80.296697
LNGN0017,Aqaba Jordan FSRU,Jordan,Asia,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,29.3752527,34.9635687
LNGN0025,Arun LNG Import Terminal,Indonesia,Asia,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,5.2234,97.083
LNGN0026,Arzew-Bethioua LNG Terminal,Algeria,Africa,2020-01-01,2020,1,export_origin,exporter,1,1,226500,0,226500,3,0,3,2,2,0.555555555556,0.555555555556,1.8,1.8,1,1,,1,0.0112547443982,0.0237882077512,0.0237882077512,35.80452,-0.24097
LNGN0027,Atlantic LNG Terminal,Trinidad and Tobago,Americas,2020-01-01,2020,1,export_origin,exporter,1,1,614532,0,614532,4,0,4,4,4,0.252157985162,0.252157985162,3.96576772834,3.96576772834,1,0.670695684275,,0.670695684275,0.0112547443982,0.0289021380156,0.0289021380156,10.18106,-61.69189
LNGN0031,Bahia FSRU,Brazil,Americas,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,-12.785422,-38.703511
LNGN0035,Barcelona LNG Terminal,Spain,Europe,2020-01-01,2020,1,import_destination,importer,1,0,0,173000,173000,0,1,1,1,1,1,1,1,1,,,0.167139746218,0.167139746218,0.0118981675227,0.00881075665694,0.0118981675227,41.3394,2.1583
LNGN0037,Bilbao LNG Terminal,Spain,Europe,2020-01-01,2020,1,import_destination,importer,1,0,0,512062,512062,0,3,3,2,2,0.560375719285,0.560375719285,1.78451700455,1.78451700455,,,0.494716258543,0.494716258543,0.0221051641875,0.00881075665694,0.0221051641875,43.3612,-3.09473
LNGN0039,Bontang LNG Terminal,Indonesia,Asia,2020-01-01,2020,1,export_origin,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,0.10123,117.4701
LNGN0040,Boryeong LNG Terminal,South Korea,Asia,2020-01-01,2020,1,import_destination,importer,1,0,0,152615,152615,0,1,1,1,1,1,1,1,1,,,0.100363997462,0.100363997462,0.0127552241889,0.00881075665694,0.0127552241889,36.415,126.4947
LNGN0044,Brunnsviksholme LNG Terminal,Sweden,Europe,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,58.922139,17.976153
LNGN0045,Brunsbüttel FSRU,Germany,Europe,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,53.9140009,8.9760945
LNGN0050,Calcasieu Pass LNG Terminal,United States,Americas,2020-01-01,2020,1,export_origin,exporter,1,1,681000,0,681000,4,0,4,4,3,0.250355247638,0.370417089837,3.99432410318,2.69965945804,1,0.373627899858,,0.373627899858,0.0112547443982,0.0199663523398,0.0199663523398,29.77292736,-93.3343038
LNGN0052,Cameroon FLNG Terminal,Cameroon,Africa,2020-01-01,2020,1,export_origin,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,2.935,9.91
LNGN0055,Cartagena FSRU (Colombia),Colombia,Americas,2020-01-01,2020,1,import_destination,inactive,0,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,10.4,-75.5
LNGN0056,Cartagena LNG Terminal (Spain),Spain,Europe,2020-01-01,2020,1,import_destination,importer,1,0,0,170000,170000,0,1,1,1,1,1,1,1,1,,,0.164241369116,0.164241369116,0.0136430553634,0.00881075665694,0.0136430553634,37.57457,-0.9595
