terminal_id,modal_role,metric,active_months,lag1_autocorrelation
LNGN0004,importer,throughput,3,
LNGN0004,importer,voyage_count,3,
LNGN0004,importer,counterparty_count,3,
LNGN0004,importer,counterparty_hhi_terminal,3,
LNGN0004,importer,counterparty_hhi_country,3,
LNGN0004,importer,effective_counterparties_terminal,3,
LNGN0004,importer,effective_counterparties_country,3,
LNGN0004,importer,max_dependence_generated,0,
LNGN0004,importer,weighted_dependence_generated,0,
LNGN0004,importer,country_terminal_dependence,3,
LNGN0004,importer,import_pagerank,3,
LNGN0004,importer,export_pagerank,3,
LNGN0004,importer,role_specific_pagerank,3,
LNGN0004,importer,role_specific_dependence,3,
LNGN0006,importer,throughput,3,
LNGN0006,importer,voyage_count,3,
LNGN0006,importer,counterparty_count,3,
LNGN0006,importer,counterparty_hhi_terminal,3,
LNGN0006,importer,counterparty_hhi_country,3,
LNGN0006,importer,effective_counterparties_terminal,3,
LNGN0006,importer,effective_counterparties_country,3,
LNGN0006,importer,max_dependence_generated,0,
LNGN0006,importer,weighted_dependence_generated,0,
LNGN0006,importer,country_terminal_dependence,3,
LNGN0006,importer,import_pagerank,3,
LNGN0006,importer,export_pagerank,3,
LNGN0006,importer,role_specific_pagerank,3,
LNGN0006,importer,role_specific_dependence,3,
LNGN0008,importer,throughput,40,0.266796833033
LNGN0008,importer,voyage_count,40,0.344611248039
LNGN0008,importer,counterparty_count,40,0.496244180002
LNGN0008,importer,counterparty_hhi_terminal,40,0.429798352307
LNGN0008,importer,counterparty_hhi_country,40,0.423881566322
LNGN0008,importer,effective_counterparties_terminal,40,0.411789598457
LNGN0008,importer,effective_counterparties_country,40,0.358631845904
LNGN0008,importer,max_dependence_generated,0,
LNGN0008,importer,weighted_dependence_generated,0,
LNGN0008,importer,country_terminal_dependence,40,
LNGN0008,importer,import_pagerank,40,0.485237039015
LNGN0008,importer,export_pagerank,40,0.794007234242
LNGN0008,importer,role_specific_pagerank,40,0.485237039015
LNGN0008,importer,role_specific_dependence,40,
LNGN0013,exporter,throughput,6,-0.245566202443
LNGN0013,exporter,voyage_count,6,-0.25
LNGN0013,exporter,counterparty_count,6,-0.25
LNGN0013,exporter,counterparty_hhi_terminal,6,-0.25
LNGN0013,exporter,counterparty_hhi_country,6,-0.25
LNGN0013,exporter,effective_counterparties_terminal,6,-0.25
LNGN0013,exporter,effective_counterparties_country,6,-0.25
LNGN0013,exporter,max_dependence_generated,6,-0.403530629436
LNGN0013,exporter,weighted_dependence_generated,6,-0.33687654025
LNGN0013,exporter,country_terminal_dependence,0,
LNGN0013,exporter,import_pagerank,6,0.364887747774
LNGN0013,exporter,export_pagerank,6,-0.00369418026628
LNGN0013,exporter,role_specific_pagerank,6,-0.00369418026628
LNGN0013,exporter,role_specific_dependence,6,-0.33687654025
LNGN0017,importer,throughput,2,
LNGN0017,importer,voyage_count,2,
LNGN0017,importer,counterparty_count,2,
LNGN0017,importer,counterparty_hhi_terminal,2,
LNGN0017,importer,counterparty_hhi_country,2,
LNGN0017,importer,effective_counterparties_terminal,2,
LNGN0017,importer,effective_counterparties_country,2,
LNGN0017,importer,max_dependence_generated,0,
LNGN0017,importer,weighted_dependence_generated,0,
LNGN0017,importer,country_terminal_dependence,2,
LNGN0017,importer,import_pagerank,2,
LNGN0017,importer,export_pagerank,2,
LNGN0017,importer,role_specific_pagerank,2,
LNGN0017,importer,role_specific_dependence,2,
LNGN0025,importer,throughput,15,-0.300963867134
LNGN0025,importer,voyage_count,15,-0.277614955819
LNGN0025,importer,counterparty_count,15,-0.289473684211
LNGN0025,importer,counterparty_hhi_terminal,15,-0.284699201563
LNGN0025,importer,counterparty_hhi_country,15,-0.388939707737
LNGN0025,importer,effective_counterparties_terminal,15,-0.309017677166
LNGN0025,importer,effective_counterparties_country,15,-0.371716985573
LNGN0025,importer,max_dependence_generated,0,
LNGN0025,importer,weighted_dependence_generated,0,
LNGN0025,importer,country_terminal_dependence,15,0.300058245215
LNGN0025,importer,import_pagerank,15,-0.0682872677874
LNGN0025,importer,export_pagerank,15,0.765619706492
LNGN0025,importer,role_specific_pagerank,15,-0.0682872677874
LNGN0025,importer,role_specific_dependence,15,0.300058245215
LNGN0026,exporter,throughput,60,0.506836633443
LNGN0026,exporter,voyage_count,60,0.435310584853
LNGN0026,exporter,counterparty_count,60,0.657916767869
LNGN0026,exporter,counterparty_hhi_terminal,60,0.305094966776
LNGN0026,exporter,counterparty_hhi_country,60,0.194360788176
LNGN0026,exporter,effective_counterparties_terminal,60,0.567048249351
LNGN0026,exporter,effective_counterparties_country,60,0.344617495147
LNGN0026,exporter,max_dependence_generated,60,0.306356665125
LNGN0026,exporter,weighted_dependence_generated,60,0.359404017869
LNGN0026,exporter,country_terminal_dependence,0,
LNGN0026,exporter,import_pagerank,60,0.833071376826
LNGN0026,exporter,export_pagerank,60,0.283285424785
LNGN0026,exporter,role_specific_pagerank,60,0.283285424785
LNGN0026,exporter,role_specific_dependence,60,0.359404017869
LNGN0027,exporter,throughput,56,0.357432508412
LNGN0027,exporter,voyage_count,56,0.359565720215
LNGN0027,exporter,counterparty_count,56,0.344622797773
LNGN0027,exporter,counterparty_hhi_terminal,56,0.380874398161
LNGN0027,exporter,counterparty_hhi_country,56,0.320845177131
LNGN0027,exporter,effective_counterparties_terminal,56,0.316186391761
LNGN0027,exporter,effective_counterparties_country,56,0.312533358785
LNGN0027,exporter,max_dependence_generated,56,0.216396998715
LNGN0027,exporter,weighted_dependence_generated,56,0.0763040540465
LNGN0027,exporter,country_terminal_dependence,0,
LNGN0027,exporter,import_pagerank,56,0.838107899674
LNGN0027,exporter,export_pagerank,56,0.166346064184
LNGN0027,exporter,role_specific_pagerank,56,0.166346064184
LNGN0027,exporter,role_specific_dependence,56,0.0763040540465
LNGN0031,importer,throughput,2,
LNGN0031,importer,voyage_count,2,
LNGN0031,importer,counterparty_count,2,
LNGN0031,importer,counterparty_hhi_terminal,2,
LNGN0031,importer,counterparty_hhi_country,2,
LNGN0031,importer,effective_counterparties_terminal,2,
LNGN0031,importer,effective_counterparties_country,2,
LNGN0031,importer,max_dependence_generated,0,
LNGN0031,importer,weighted_dependence_generated,0,
LNGN0031,importer,country_terminal_dependence,2,
LNGN0031,importer,import_pagerank,2,
LNGN0031,importer,export_pagerank,2,
LNGN0031,importer,role_specific_pagerank,2,
LNGN0031,importer,role_specific_dependence,2,
LNGN0035,importer,throughput,51,0.182373127546
LNGN0035,importer,voyage_count,51,0.262270400482
LNGN0035,importer,counterparty_count,51,0.24860455131
LNGN0035,importer,counterparty_hhi_terminal,51,0.156812652717
LNGN0035,importer,counterparty_hhi_country,51,0.223769323466
LNGN0035,importer,effective_counterparties_terminal,51,0.19076478715
LNGN0035,importer,effective_counterparties_country,51,0.338866121619
LNGN0035,importer,max_dependence_generated,0,
LNGN0035,importer,weighted_dependence_generated,0,
LNGN0035,importer,country_terminal_dependence,51,0.200187677885
LNGN0035,importer,import_pagerank,51,0.199513524625
LNGN0035,importer,export_pagerank,51,0.798328680586
LNGN0035,importer,role_specific_pagerank,51,0.199513524625
LNGN0035,importer,role_specific_dependence,51,0.200187677885
LNGN0037,importer,throughput,58,0.369128965958
LNGN0037,importer,voyage_count,58,0.361455092421
LNGN0037,importer,counterparty_count,58,0.388622749291
LNGN0037,importer,counterparty_hhi_terminal,58,0.259190696689
LNGN0037,importer,counterparty_hhi_country,58,0.241085743976
LNGN0037,importer,effective_counterparties_terminal,58,0.345500556818
LNGN0037,importer,effective_counterparties_country,58,0.293954638931
LNGN0037,importer,max_dependence_generated,0,
LNGN0037,importer,weighted_dependence_generated,0,
LNGN0037,importer,country_terminal_dependence,58,0.200876820995
LNGN0037,importer,import_pagerank,58,0.209153522134
LNGN0037,importer,export_pagerank,58,0.786066798625
LNGN0037,importer,role_specific_pagerank,58,0.209153522134
LNGN0037,importer,role_specific_dependence,58,0.200876820995
LNGN0039,exporter,throughput,11,-0.219512195122
LNGN0039,exporter,voyage_count,11,-0.219512195122
LNGN0039,exporter,counterparty_count,11,-0.25
LNGN0039,exporter,counterparty_hhi_terminal,11,-0.248923341947
LNGN0039,exporter,counterparty_hhi_country,11,
LNGN0039,exporter,effective_counterparties_terminal,11,-0.246200607903
LNGN0039,exporter,effective_counterparties_country,11,
LNGN0039,exporter,max_dependence_generated,11,-0.111111111111
LNGN0039,exporter,weighted_dependence_generated,11,-0.219512195122
LNGN0039,exporter,country_terminal_dependence,0,
LNGN0039,exporter,import_pagerank,11,0.857316916672
LNGN0039,exporter,export_pagerank,11,0.676924246669
LNGN0039,exporter,role_specific_pagerank,11,0.676924246669
LNGN0039,exporter,role_specific_dependence,11,-0.219512195122
LNGN0040,importer,throughput,44,-0.0676730102618
LNGN0040,importer,voyage_count,44,-0.0374376039933
LNGN0040,importer,counterparty_count,44,-0.00951776649746
LNGN0040,importer,counterparty_hhi_terminal,44,-0.0141015400903
LNGN0040,importer,counterparty_hhi_country,44,0.106120677651
LNGN0040,importer,effective_counterparties_terminal,44,0.00653137710384
LNGN0040,importer,effective_counterparties_country,44,0.0454922500301
LNGN0040,importer,max_dependence_generated,0,
LNGN0040,importer,weighted_dependence_generated,0,
LNGN0040,importer,country_terminal_dependence,44,-0.312010951446
LNGN0040,importer,import_pagerank,44,0.187865078593
LNGN0040,importer,export_pagerank,44,0.790621558423
LNGN0040,importer,role_specific_pagerank,44,0.187865078593
LNGN0040,importer,role_specific_dependence,44,-0.312010951446
LNGN0044,importer,throughput,28,0.0492034648573
LNGN0044,importer,voyage_count,28,0.0330891298004
LNGN0044,importer,counterparty_count,28,-0.1
LNGN0044,importer,counterparty_hhi_terminal,28,-0.0997091658305
LNGN0044,importer,counterparty_hhi_country,28,-0.0997091658305
LNGN0044,importer,effective_counterparties_terminal,28,-0.0989933565022
LNGN0044,importer,effective_counterparties_country,28,-0.0989933565022
LNGN0044,importer,max_dependence_generated,0,
LNGN0044,importer,weighted_dependence_generated,0,
LNGN0044,importer,country_terminal_dependence,28,-0.013759366866
LNGN0044,importer,import_pagerank,28,0.257260603935
LNGN0044,importer,export_pagerank,28,0.856765894321
LNGN0044,importer,role_specific_pagerank,28,0.257260603935
LNGN0044,importer,role_specific_dependence,28,-0.013759366866
LNGN0045,importer,throughput,7,0.155798625157
LNGN0045,importer,voyage_count,7,
LNGN0045,importer,counterparty_count,7,
LNGN0045,importer,counterparty_hhi_terminal,7,
LNGN0045,importer,counterparty_hhi_country,7,
LNGN0045,importer,effective_counterparties_terminal,7,
LNGN0045,importer,effective_counterparties_country,7,
LNGN0045,importer,max_dependence_generated,0,
LNGN0045,importer,weighted_dependence_generated,0,
LNGN0045,importer,country_terminal_dependence,7,-0.350833594395
LNGN0045,importer,import_pagerank,7,0.498840799585
LNGN0045,importer,export_pagerank,7,0.415662018481
LNGN0045,importer,role_specific_pagerank,7,0.498840799585
LNGN0045,importer,role_specific_dependence,7,-0.350833594395
LNGN0050,exporter,throughput,58,0.699254075063
LNGN0050,exporter,voyage_count,58,0.694079104743
LNGN0050,exporter,counterparty_count,58,0.629221139401
LNGN0050,exporter,counterparty_hhi_terminal,58,0.493624529128
LNGN0050,exporter,counterparty_hhi_country,58,0.431241678402
LNGN0050,exporter,effective_counterparties_terminal,58,0.538064410769
LNGN0050,exporter,effective_counterparties_country,58,0.484795695366
LNGN0050,exporter,max_dependence_generated,58,0.020532338465
LNGN0050,exporter,weighted_dependence_generated,58,0.113938059319
LNGN0050,exporter,country_terminal_dependence,0,
LNGN0050,exporter,import_pagerank,58,0.825308362065
LNGN0050,exporter,export_pagerank,58,0.219907022
LNGN0050,exporter,role_specific_pagerank,58,0.219907022
LNGN0050,exporter,role_specific_dependence,58,0.113938059319
LNGN0052,exporter,throughput,32,0.266031643628
LNGN0052,exporter,voyage_count,32,0.261904761905
LNGN0052,exporter,counterparty_count,32,-0.107142857143
LNGN0052,exporter,counterparty_hhi_terminal,32,-0.107142099241
LNGN0052,exporter,counterparty_hhi_country,32,-0.0689655172414
LNGN0052,exporter,effective_counterparties_terminal,32,-0.107139847964
LNGN0052,exporter,effective_counterparties_country,32,-0.0689655172414
LNGN0052,exporter,max_dependence_generated,32,-0.0202600251628
LNGN0052,exporter,weighted_dependence_generated,32,-0.0113879693044
LNGN0052,exporter,country_terminal_dependence,0,
LNGN0052,exporter,import_pagerank,32,0.861015947606
LNGN0052,exporter,export_pagerank,32,0.260644664253
LNGN0052,exporter,role_specific_pagerank,32,0.260644664253
LNGN0052,exporter,role_specific_dependence,32,-0.0113879693044
LNGN0055,importer,throughput,10,-0.237202739841
LNGN0055,importer,voyage_count,10,-0.25
LNGN0055,importer,counterparty_count,10,-0.216216216216
LNGN0055,importer,counterparty_hhi_terminal,10,-0.266882311351
LNGN0055,importer,counterparty_hhi_country,10,-0.274751813486
LNGN0055,importer,effective_counterparties_terminal,10,-0.210737457607
