metric,previous_month,current_month,spearman_rank_persistence
throughput,2020-01-01,2020-02-01,0.787377350376
throughput,2020-02-01,2020-03-01,0.748697361236
throughput,2020-03-01,2020-04-01,0.750641896994
throughput,2020-04-01,2020-05-01,0.493777141108
throughput,2020-05-01,2020-06-01,0.481891820969
throughput,2020-06-01,2020-07-01,0.438727985157
throughput,2020-07-01,2020-08-01,0.695381735276
throughput,2020-08-01,2020-09-01,0.490799470964
throughput,2020-09-01,2020-10-01,0.550017078462
throughput,2020-10-01,2020-11-01,0.809376214785
throughput,2020-11-01,2020-12-01,0.804361237728
throughput,2020-12-01,2021-01-01,0.735462044542
throughput,2021-01-01,2021-02-01,0.728590849382
throughput,2021-02-01,2021-03-01,0.714063542374
throughput,2021-03-01,2021-04-01,0.782960276846
throughput,2021-04-01,2021-05-01,0.763059430758
throughput,2021-05-01,2021-06-01,0.719705388561
throughput,2021-06-01,2021-07-01,0.63850098017
throughput,2021-07-01,2021-08-01,0.68388586861
throughput,2021-08-01,2021-09-01,0.721553247101
throughput,2021-09-01,2021-10-01,0.756619323163
throughput,2021-10-01,2021-11-01,0.797712481875
throughput,2021-11-01,2021-12-01,0.850340955959
throughput,2021-12-01,2022-01-01,0.861344622693
throughput,2022-01-01,2022-02-01,0.726451613494
throughput,2022-02-01,2022-03-01,0.762154807182
throughput,2022-03-01,2022-04-01,0.750299809165
throughput,2022-04-01,2022-05-01,0.834404897407
throughput,2022-05-01,2022-06-01,0.699619724207
throughput,2022-06-01,2022-07-01,0.777372352401
throughput,2022-07-01,2022-08-01,0.753739994895
throughput,2022-08-01,2022-09-01,0.647735745563
throughput,2022-09-01,2022-10-01,0.746298900234
throughput,2022-10-01,2022-11-01,0.777358594497
throughput,2022-11-01,2022-12-01,0.717391758798
throughput,2022-12-01,2023-01-01,0.82471405774
throughput,2023-01-01,2023-02-01,0.722864534444
throughput,2023-02-01,2023-03-01,0.664410077111
throughput,2023-03-01,2023-04-01,0.762497864632
throughput,2023-04-01,2023-05-01,0.751077570328
throughput,2023-05-01,2023-06-01,0.72394865778
throughput,2023-06-01,2023-07-01,0.733094653405
throughput,2023-07-01,2023-08-01,0.770738072868
throughput,2023-08-01,2023-09-01,0.800000000534
throughput,2023-09-01,2023-10-01,0.754678268205
throughput,2023-10-01,2023-11-01,0.791426615257
throughput,2023-11-01,2023-12-01,0.810824854087
throughput,2023-12-01,2024-01-01,0.777372688481
throughput,2024-01-01,2024-02-01,0.743829156849
throughput,2024-02-01,2024-03-01,0.717180630048
throughput,2024-03-01,2024-04-01,0.752885923524
throughput,2024-04-01,2024-05-01,0.733316017066
throughput,2024-05-01,2024-06-01,0.50988927698
throughput,2024-06-01,2024-07-01,0.697886140608
throughput,2024-07-01,2024-08-01,0.670039779032
throughput,2024-08-01,2024-09-01,0.595522151693
throughput,2024-09-01,2024-10-01,0.758703446482
throughput,2024-10-01,2024-11-01,0.55169825726
throughput,2024-11-01,2024-12-01,0.573600368372
voyage_count,2020-01-01,2020-02-01,0.698905326026
voyage_count,2020-02-01,2020-03-01,0.686564100507
voyage_count,2020-03-01,2020-04-01,0.700840001992
voyage_count,2020-04-01,2020-05-01,0.477093188711
voyage_count,2020-05-01,2020-06-01,0.579184946111
voyage_count,2020-06-01,2020-07-01,0.488967291317
voyage_count,2020-07-01,2020-08-01,0.485838808497
voyage_count,2020-08-01,2020-09-01,0.311854638071
voyage_count,2020-09-01,2020-10-01,0.362300237142
voyage_count,2020-10-01,2020-11-01,0.774498096051
voyage_count,2020-11-01,2020-12-01,0.744284598951
voyage_count,2020-12-01,2021-01-01,0.60900313016
voyage_count,2021-01-01,2021-02-01,0.632101466273
voyage_count,2021-02-01,2021-03-01,0.60431242078
voyage_count,2021-03-01,2021-04-01,0.757012498163
voyage_count,2021-04-01,2021-05-01,0.689692745641
voyage_count,2021-05-01,2021-06-01,0.717804249206
voyage_count,2021-06-01,2021-07-01,0.618222043079
voyage_count,2021-07-01,2021-08-01,0.679491885842
voyage_count,2021-08-01,2021-09-01,0.653275597186
voyage_count,2021-09-01,2021-10-01,0.664588602724
voyage_count,2021-10-01,2021-11-01,0.768258947899
voyage_count,2021-11-01,2021-12-01,0.811420636274
voyage_count,2021-12-01,2022-01-01,0.810217140404
voyage_count,2022-01-01,2022-02-01,0.714030369344
voyage_count,2022-02-01,2022-03-01,0.738324625398
voyage_count,2022-03-01,2022-04-01,0.740756828233
voyage_count,2022-04-01,2022-05-01,0.781293710872
voyage_count,2022-05-01,2022-06-01,0.694536013058
voyage_count,2022-06-01,2022-07-01,0.750274151976
voyage_count,2022-07-01,2022-08-01,0.752535461835
voyage_count,2022-08-01,2022-09-01,0.63922525019
voyage_count,2022-09-01,2022-10-01,0.680290512445
voyage_count,2022-10-01,2022-11-01,0.743275584407
voyage_count,2022-11-01,2022-12-01,0.720107978646
voyage_count,2022-12-01,2023-01-01,0.805703730044
voyage_count,2023-01-01,2023-02-01,0.701434338903
voyage_count,2023-02-01,2023-03-01,0.598208815741
voyage_count,2023-03-01,2023-04-01,0.728962611659
voyage_count,2023-04-01,2023-05-01,0.73947204649
voyage_count,2023-05-01,2023-06-01,0.734518319312
voyage_count,2023-06-01,2023-07-01,0.721547567124
voyage_count,2023-07-01,2023-08-01,0.742827591002
voyage_count,2023-08-01,2023-09-01,0.800592685957
voyage_count,2023-09-01,2023-10-01,0.744632083243
voyage_count,2023-10-01,2023-11-01,0.761666918244
voyage_count,2023-11-01,2023-12-01,0.770767712732
voyage_count,2023-12-01,2024-01-01,0.760864300769
voyage_count,2024-01-01,2024-02-01,0.710265138657
voyage_count,2024-02-01,2024-03-01,0.716018989582
voyage_count,2024-03-01,2024-04-01,0.773334023721
voyage_count,2024-04-01,2024-05-01,0.642341019583
voyage_count,2024-05-01,2024-06-01,0.518043615519
voyage_count,2024-06-01,2024-07-01,0.617971024946
voyage_count,2024-07-01,2024-08-01,0.669834637532
voyage_count,2024-08-01,2024-09-01,0.567178654975
voyage_count,2024-09-01,2024-10-01,0.641475658405
voyage_count,2024-10-01,2024-11-01,0.536306394832
voyage_count,2024-11-01,2024-12-01,0.593080990954
counterparty_count,2020-01-01,2020-02-01,0.671560424148
counterparty_count,2020-02-01,2020-03-01,0.673774495227
counterparty_count,2020-03-01,2020-04-01,0.719352989347
counterparty_count,2020-04-01,2020-05-01,0.376451238028
counterparty_count,2020-05-01,2020-06-01,0.562266964526
counterparty_count,2020-06-01,2020-07-01,0.524610810098
counterparty_count,2020-07-01,2020-08-01,0.563127321341
counterparty_count,2020-08-01,2020-09-01,0.315457297865
counterparty_count,2020-09-01,2020-10-01,0.398549236672
counterparty_count,2020-10-01,2020-11-01,0.690011519093
counterparty_count,2020-11-01,2020-12-01,0.693489544109
counterparty_count,2020-12-01,2021-01-01,0.729849221679
counterparty_count,2021-01-01,2021-02-01,0.696956567405
counterparty_count,2021-02-01,2021-03-01,0.627927676168
counterparty_count,2021-03-01,2021-04-01,0.686712126664
counterparty_count,2021-04-01,2021-05-01,0.65016483069
counterparty_count,2021-05-01,2021-06-01,0.661181578579
counterparty_count,2021-06-01,2021-07-01,0.554095527476
counterparty_count,2021-07-01,2021-08-01,0.710992128507
counterparty_count,2021-08-01,2021-09-01,0.585114472517
counterparty_count,2021-09-01,2021-10-01,0.627353001529
counterparty_count,2021-10-01,2021-11-01,0.671800466367
counterparty_count,2021-11-01,2021-12-01,0.783587723963
counterparty_count,2021-12-01,2022-01-01,0.77245727898
counterparty_count,2022-01-01,2022-02-01,0.672380873003
counterparty_count,2022-02-01,2022-03-01,0.638629696098
counterparty_count,2022-03-01,2022-04-01,0.681127484362
counterparty_count,2022-04-01,2022-05-01,0.726734560756
counterparty_count,2022-05-01,2022-06-01,0.660768440206
counterparty_count,2022-06-01,2022-07-01,0.765639127891
counterparty_count,2022-07-01,2022-08-01,0.808282145174
counterparty_count,2022-08-01,2022-09-01,0.618235684779
counterparty_count,2022-09-01,2022-10-01,0.760100805739
counterparty_count,2022-10-01,2022-11-01,0.684866944709
counterparty_count,2022-11-01,2022-12-01,0.669999180995
